Country,A/HRC/RES/9/2,A/HRC/RES/9/4,A/HRC/RES/9/18,A/HRC/RES/S-9/1,A/HRC/RES/S-10/1,A/HRC/RES/10/5,A/HRC/RES/10/11,A/HRC/RES/10/16,A/HRC/RES/10/17,A/HRC/RES/10/18,A/HRC/RES/10/19,A/HRC/RES/10/21,A/HRC/RES/10/22,A/HRC/RES/10/24,A/HRC/RES/10/25,A/HRC/RES/10/30,A/HRC/RES/10/33,A/HRC/DEC/10/117,A/HRC/RES/S-11/1,A/HRC/RES/11/4,A/HRC/RES/11/5,A/HRC/RES/11/10
AGO,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
ARG,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
AZE,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
BFA,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
BGD,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,3,3,0
BHR,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
BIH,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
BOL,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
BRA,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
CAN,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
CHE,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1
CHL,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
CHN,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0
CMR,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0
CUB,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0
DEU,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
DJI,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0
EGY,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
FRA,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
GAB,1,1,1,1,3,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0
GBR,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
GHA,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0
IDN,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0
IND,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
ITA,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
JOR,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
JPN,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
KOR,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
MDG,3,3,3,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0
MEX,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
MUS,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
MYS,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0
NGA,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0
NIC,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
NLD,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
PAK,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
PHL,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0
QAT,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
RUS,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
SAU,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
SEN,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0
SVK,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
SVN,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
UKR,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
URY,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
ZAF,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0
ZMB,1,1,1,1,3,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
