Country,A/HRC/RES/12/9,A/HRC/RES/12/21,A/HRC/RES/12/22,A/HRC/RES/12/23,A/HRC/DEC/12/119,A/HRC/RES/S-12/1,A/HRC/RES/13/1,A/HRC/RES/13/5,A/HRC/RES/13/6,A/HRC/RES/13/7,A/HRC/RES/13/8,A/HRC/RES/13/9,A/HRC/RES/13/14,A/HRC/RES/13/16,A/HRC/RES/14/1,A/HRC/RES/14/3,A/HRC/RES/14/4
AGO,1,1,1,1,1,3,1,1,1,1,1,1,0,3,1,1,1
ARG,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
BEL,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
BFA,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1
BGD,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
BHR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BIH,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0
BOL,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
BRA,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
CHL,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0
CHN,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
CMR,1,1,1,1,1,0,1,0,3,1,0,0,0,0,3,1,1
CUB,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
DJI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EGY,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
FRA,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0
GAB,1,1,1,1,1,0,1,0,1,1,1,3,3,3,1,1,1
GBR,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
GHA,1,0,1,1,1,1,3,1,1,1,1,1,1,0,1,1,1
HUN,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
IDN,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
IND,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
ITA,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
JOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JPN,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
KGZ,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,3,1
KOR,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
MDG,1,1,1,1,1,3,1,1,1,1,1,0,1,0,3,1,1
MEX,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0
MUS,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
NGA,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NIC,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NLD,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
NOR,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
PAK,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
PHL,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
QAT,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
RUS,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
SAU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SEN,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
SVK,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
SVN,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0
UKR,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
URY,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
USA,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
ZAF,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
ZMB,1,1,3,1,3,1,1,1,1,1,1,1,1,0,3,1,1
