Country,Country Long,party
ARE,United Arab Emirates,GLOBAL_SOUTH
ARG,Argentina,GLOBAL_SOUTH
AUT,Austria,GLOBAL_NORTH
BEN,Benin,GLOBAL_SOUTH
BFA,Burkina Faso,GLOBAL_SOUTH
BRA,Brazil,GLOBAL_SOUTH
BWA,Botswana,GLOBAL_SOUTH
CHL,Chile,GLOBAL_SOUTH
CHN,China,GLOBAL_SOUTH
CIV,Côte d'Ivoire,GLOBAL_SOUTH
COG,Congo,GLOBAL_SOUTH
CRI,Costa Rica,GLOBAL_SOUTH
CUB,Cuba,GLOBAL_SOUTH
CZE,Czechia,GLOBAL_NORTH
DEU,Germany,GLOBAL_NORTH
DZA,Algeria,GLOBAL_SOUTH
EST,Estonia,GLOBAL_NORTH
ETH,Ethiopia,GLOBAL_SOUTH
FRA,France,GLOBAL_NORTH
GAB,Gabon,GLOBAL_SOUTH
GBR,United Kingdom of Great Britain and Northern Ireland,GLOBAL_NORTH
IDN,Indonesia,GLOBAL_SOUTH
IND,India,GLOBAL_SOUTH
IRL,Ireland,GLOBAL_NORTH
ITA,Italy,GLOBAL_NORTH
JPN,Japan,GLOBAL_NORTH
KAZ,Kazakhstan,GLOBAL_NORTH
KEN,Kenya,GLOBAL_SOUTH
KOR,"Korea, Republic of",GLOBAL_NORTH
KWT,Kuwait,GLOBAL_SOUTH
MAR,Morocco,GLOBAL_SOUTH
MDV,Maldives,GLOBAL_SOUTH
MEX,Mexico,GLOBAL_NORTH
MKD,North Macedonia,GLOBAL_NORTH
MNE,Montenegro,GLOBAL_NORTH
NAM,Namibia,GLOBAL_SOUTH
PAK,Pakistan,GLOBAL_SOUTH
PER,Peru,GLOBAL_SOUTH
PHL,Philippines,GLOBAL_SOUTH
ROU,Romania,GLOBAL_NORTH
RUS,Russian Federation,GLOBAL_NORTH
SAU,Saudi Arabia,GLOBAL_SOUTH
SLE,Sierra Leone,GLOBAL_SOUTH
USA,United States of America,GLOBAL_NORTH
VEN,"Venezuela, Bolivarian Republic of",GLOBAL_SOUTH
VNM,Viet Nam,GLOBAL_SOUTH
ZAF,South Africa,GLOBAL_SOUTH
