"","coord1D","se1D"
"RUS",-1,0
"VEN",-0.978,0
"CHN",-0.895,0
"CUB",-0.855,0
"ERI",-0.806,0
"LKA",-0.761,0
"UGA",-0.744,0
"EGY",-0.607,0
"VNM",-0.534,0
"BDI",-0.524,0
"PAK",-0.513,0
"SAU",-0.468,0
"NIC",-0.462,0
"MLI",-0.461,0
"ARE",-0.449,0
"BOL",-0.448,0
"BGD",-0.444,0
"IND",-0.43,0
"IDN",-0.422,0
"AZE",-0.415,0
"KWT",-0.405,0
"MYS",-0.364,0
"SOM",-0.364,0
"NGA",-0.361,0
"SDN",-0.342,0
"IRQ",-0.334,0
"DJI",-0.33,0
"DZA",-0.329,0
"QAT",-0.326,0
"BHR",-0.305,0
"MRT",-0.299,0
"ETH",-0.292,0
"KGZ",-0.292,0
"KEN",-0.273,0
"SEN",-0.263,0
"CMR",-0.216,0
"JOR",-0.21,0
"PHL",-0.184,0
"LBY",-0.178,0
"ECU",-0.176,0
"COG",-0.158,0
"ZAF",-0.153,0
"MAR",-0.145,0
"UZB",-0.128,0
"KAZ",-0.125,0
"TUN",-0.124,0
"AGO",-0.119,0
"GMB",-0.108,0
"THA",-0.078,0
"AFG",-0.077,0
"BFA",-0.058,0
"MDV",-0.05,0
"NAM",-0.046,0
"COD",-0.031,0
"NPL",-0.006,0
"CIV",-0.003,0
"MDG",-0.001,0
"GAB",0.006,0
"BWA",0.028,0
"MUS",0.04,0
"TGO",0.046,0
"ZMB",0.059,0
"MWI",0.074,0
"MNG",0.089,0
"SLV",0.091,0
"BEN",0.095,0
"GHA",0.12,0
"RWA",0.143,0
"SLE",0.146,0
"ARM",0.175,0
"URY",0.206,0
"BRA",0.207,0
"BHS",0.222,0
"HND",0.233,0
"FJI",0.262,0
"ARG",0.264,0
"GTM",0.275,0
"PER",0.309,0
"CHL",0.329,0
"PRY",0.336,0
"CRI",0.338,0
"DOM",0.364,0
"MEX",0.406,0
"PAN",0.427,0
"GEO",0.642,0
"LUX",0.731,0
"NOR",0.739,0
"JPN",0.771,0
"PRT",0.788,0
"CHE",0.793,0
"BEL",0.806,0
"IRL",0.818,0
"BIH",0.842,0
"EST",0.847,0
"ESP",0.848,0
"MNE",0.848,0
"HRV",0.852,0
"SVN",0.86,0
"LVA",0.862,0
"ISL",0.863,0
"FIN",0.867,0
"DEU",0.878,0
"ITA",0.878,0
"ALB",0.886,0
"KOR",0.888,0
"HUN",0.896,0
"NLD",0.902,0
"UKR",0.924,0
"FRA",0.925,0
"MDA",0.945,0
"AUT",0.975,0
"AUS",1,0
"BGR",1,0
"CAN",1,0
"CZE",1,0
"DNK",1,0
"GBR",1,0
"LTU",1,0
"MHL",1,0
"MKD",1,0
"POL",1,0
"ROU",1,0
"SVK",1,0
"USA",1,0
"SWZ",NA,NA
