Country,A/HRC/15/L.35,A/HRC/RES/15/1,A/HRC/RES/15/6,A/HRC/RES/15/12,A/HRC/RES/15/13,A/HRC/RES/15/24,A/HRC/RES/15/25,A/HRC/RES/15/26,A/HRC/RES/15/27,A/HRC/RES/16/3,A/HRC/RES/16/8,A/HRC/RES/16/9,A/HRC/RES/16/10,A/HRC/RES/16/14,A/HRC/RES/16/17,A/HRC/RES/16/20,A/HRC/RES/16/29,A/HRC/RES/16/30,A/HRC/RES/16/31,A/HRC/RES/16/32,A/HRC/RES/S-16/1,A/HRC/RES/17/6,A/HRC/RES/17/7,A/HRC/RES/17/10,A/HRC/RES/17/16,A/HRC/RES/17/19,A/HRC/RES/17/22,A/HRC/RES/17/23,A/HRC/RES/17/24
AGO,4,1,1,1,1,1,1,1,3,1,0,3,1,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,0
ARG,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEL,4,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1
BFA,4,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
BGD,4,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
BHR,4,1,1,1,1,1,1,1,0,1,3,0,1,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,0
BRA,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHE,4,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,4,0,1,0,0,1,0,1,0,0,1
CHL,4,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
CHN,4,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
