Country,Country Long,party
ALB,Albania,GLOBAL_NORTH
ARE,United Arab Emirates,GLOBAL_SOUTH
ARG,Argentina,GLOBAL_SOUTH
BDI,Burundi,GLOBAL_SOUTH
BEL,Belgium,GLOBAL_NORTH
BEN,Benin,GLOBAL_SOUTH
BGD,Bangladesh,GLOBAL_SOUTH
BGR,Bulgaria,GLOBAL_NORTH
BRA,Brazil,GLOBAL_SOUTH
CHL,Chile,GLOBAL_SOUTH
CHN,China,GLOBAL_SOUTH
CIV,Côte d'Ivoire,GLOBAL_SOUTH
CMR,Cameroon,GLOBAL_SOUTH
CRI,Costa Rica,GLOBAL_SOUTH
CUB,Cuba,GLOBAL_SOUTH
DEU,Germany,GLOBAL_NORTH
DOM,Dominican Republic,GLOBAL_SOUTH
DZA,Algeria,GLOBAL_SOUTH
ERI,Eritrea,GLOBAL_SOUTH
FIN,Finland,GLOBAL_NORTH
FRA,France,GLOBAL_NORTH
GEO,Georgia,GLOBAL_NORTH
GHA,Ghana,GLOBAL_SOUTH
GMB,Gambia,GLOBAL_SOUTH
HND,Honduras,GLOBAL_SOUTH
IDN,Indonesia,GLOBAL_SOUTH
IND,India,GLOBAL_SOUTH
JPN,Japan,GLOBAL_NORTH
KAZ,Kazakhstan,GLOBAL_NORTH
KGZ,Kyrgyzstan,GLOBAL_NORTH
KWT,Kuwait,GLOBAL_SOUTH
LTU,Lithuania,GLOBAL_NORTH
LUX,Luxembourg,GLOBAL_NORTH
MAR,Morocco,GLOBAL_SOUTH
MDV,Maldives,GLOBAL_SOUTH
MNE,Montenegro,GLOBAL_NORTH
MWI,Malawi,GLOBAL_SOUTH
MYS,Malaysia,GLOBAL_SOUTH
NLD,Netherlands,GLOBAL_NORTH
PRY,Paraguay,GLOBAL_SOUTH
QAT,Qatar,GLOBAL_SOUTH
ROU,Romania,GLOBAL_NORTH
SDN,Sudan,GLOBAL_SOUTH
SOM,Somalia,GLOBAL_SOUTH
USA,United States of America,GLOBAL_NORTH
VNM,Viet Nam,GLOBAL_SOUTH
ZAF,South Africa,GLOBAL_SOUTH
