"","coord1D","se1D"
"AUS",-1,0
"BGR",-1,0
"CAN",-1,0
"CZE",-1,0
"DNK",-1,0
"GBR",-1,0
"LTU",-1,0
"MHL",-1,0
"MKD",-1,0
"POL",-1,0
"ROU",-1,0
"SVK",-1,0
"USA",-1,0
"AUT",-0.997,0
"MDA",-0.991,0
"UKR",-0.944,0
"FRA",-0.939,0
"HUN",-0.907,0
"ITA",-0.905,0
"NLD",-0.905,0
"KOR",-0.901,0
"DEU",-0.886,0
"ESP",-0.879,0
"FIN",-0.877,0
"ALB",-0.876,0
"BIH",-0.875,0
"EST",-0.867,0
"SVN",-0.865,0
"ISL",-0.864,0
"MNE",-0.86,0
"LVA",-0.852,0
"IRL",-0.841,0
"HRV",-0.839,0
"BEL",-0.823,0
"CHE",-0.82,0
"JPN",-0.797,0
"NOR",-0.784,0
"PRT",-0.78,0
"LUX",-0.728,0
"GEO",-0.628,0
"PAN",-0.407,0
"MEX",-0.406,0
"DOM",-0.355,0
"CRI",-0.336,0
"CHL",-0.324,0
"PRY",-0.324,0
"PER",-0.305,0
"GTM",-0.275,0
"ARG",-0.257,0
"FJI",-0.254,0
"HND",-0.225,0
"BHS",-0.213,0
"URY",-0.199,0
"BRA",-0.198,0
"ARM",-0.166,0
"SLE",-0.139,0
"RWA",-0.133,0
"GHA",-0.112,0
"BEN",-0.087,0
"SLV",-0.082,0
"MNG",-0.08,0
"MWI",-0.065,0
"ZMB",-0.051,0
"TGO",-0.037,0
"MUS",-0.033,0
"BWA",-0.019,0
"GAB",0.002,0
"CIV",0.011,0
"MDG",0.011,0
"NPL",0.014,0
"COD",0.039,0
"NAM",0.053,0
"MDV",0.058,0
"BFA",0.067,0
"AFG",0.086,0
"THA",0.086,0
"GMB",0.116,0
"AGO",0.126,0
"TUN",0.131,0
"KAZ",0.134,0
"UZB",0.135,0
"MAR",0.152,0
"ZAF",0.16,0
"COG",0.165,0
"ECU",0.182,0
"LBY",0.185,0
"PHL",0.191,0
"JOR",0.217,0
"CMR",0.224,0
"SEN",0.269,0
"KEN",0.279,0
"KGZ",0.297,0
"ETH",0.298,0
"MRT",0.304,0
"BHR",0.31,0
"QAT",0.332,0
"DZA",0.335,0
"DJI",0.337,0
"IRQ",0.339,0
"SDN",0.346,0
"NGA",0.367,0
"MYS",0.368,0
"SOM",0.368,0
"KWT",0.409,0
"IDN",0.426,0
"IND",0.434,0
"AZE",0.435,0
"BGD",0.448,0
"ARE",0.453,0
"BOL",0.454,0
"SAU",0.473,0
"NIC",0.495,0
"MLI",0.496,0
"PAK",0.514,0
"BDI",0.529,0
"VNM",0.539,0
"EGY",0.615,0
"UGA",0.744,0
"LKA",0.795,0
"ERI",0.802,0
"CUB",0.857,0
"CHN",0.893,0
"VEN",0.976,0
"RUS",1,0
"SWZ",NA,NA
