Country,Country Long,party
AGO,Angola,GLOBAL_SOUTH
ARG,Argentina,GLOBAL_SOUTH
BEL,Belgium,GLOBAL_NORTH
BFA,Burkina Faso,GLOBAL_SOUTH
BGD,Bangladesh,GLOBAL_SOUTH
BHR,Bahrain,GLOBAL_SOUTH
BRA,Brazil,GLOBAL_SOUTH
CHE,Switzerland,GLOBAL_NORTH
CHL,Chile,GLOBAL_SOUTH
CHN,China,GLOBAL_SOUTH
CMR,Cameroon,GLOBAL_SOUTH
CUB,Cuba,GLOBAL_SOUTH
DJI,Djibouti,GLOBAL_SOUTH
ECU,Ecuador,GLOBAL_SOUTH
ESP,Spain,GLOBAL_NORTH
FRA,France,GLOBAL_NORTH
GAB,Gabon,GLOBAL_SOUTH
GBR,United Kingdom of Great Britain and Northern Ireland,GLOBAL_NORTH
GHA,Ghana,GLOBAL_SOUTH
GTM,Guatemala,GLOBAL_SOUTH
HUN,Hungary,GLOBAL_NORTH
JOR,Jordan,GLOBAL_SOUTH
JPN,Japan,GLOBAL_NORTH
KGZ,Kyrgyzstan,GLOBAL_NORTH
KOR,"Korea, Republic of",GLOBAL_NORTH
LBY,Libya,GLOBAL_SOUTH
MDA,"Moldova, Republic of",GLOBAL_NORTH
MDV,Maldives,GLOBAL_SOUTH
MEX,Mexico,GLOBAL_NORTH
MRT,Mauritania,GLOBAL_SOUTH
MUS,Mauritius,GLOBAL_SOUTH
MYS,Malaysia,GLOBAL_SOUTH
NGA,Nigeria,GLOBAL_SOUTH
NOR,Norway,GLOBAL_NORTH
PAK,Pakistan,GLOBAL_SOUTH
POL,Poland,GLOBAL_NORTH
QAT,Qatar,GLOBAL_SOUTH
RUS,Russian Federation,GLOBAL_NORTH
SAU,Saudi Arabia,GLOBAL_SOUTH
SEN,Senegal,GLOBAL_SOUTH
SVK,Slovakia,GLOBAL_NORTH
SVN,Slovenia,GLOBAL_NORTH
SWZ,Eswatini,GLOBAL_SOUTH
THA,Thailand,GLOBAL_SOUTH
UGA,Uganda,GLOBAL_SOUTH
UKR,Ukraine,GLOBAL_NORTH
URY,Uruguay,GLOBAL_SOUTH
USA,United States of America,GLOBAL_NORTH
ZMB,Zambia,GLOBAL_SOUTH
