Country,A/HRC/RES/15/1,A/HRC/RES/15/6,A/HRC/RES/15/12,A/HRC/RES/15/13,A/HRC/RES/15/24,A/HRC/RES/15/25,A/HRC/RES/15/26,A/HRC/RES/15/27,A/HRC/RES/16/3,A/HRC/RES/16/8,A/HRC/RES/16/9,A/HRC/RES/16/10,A/HRC/RES/16/14,A/HRC/RES/16/17,A/HRC/RES/16/20,A/HRC/RES/16/29,A/HRC/RES/16/30,A/HRC/RES/16/31,A/HRC/RES/16/32,A/HRC/RES/S-16/1,A/HRC/RES/17/6,A/HRC/RES/17/7,A/HRC/RES/17/10,A/HRC/RES/17/16,A/HRC/RES/17/19,A/HRC/RES/17/22,A/HRC/RES/17/23,A/HRC/RES/17/24
AGO,1,1,1,1,1,1,1,3,1,0,3,1,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,0
ARG,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEL,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1
BFA,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
BGD,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
BHR,1,1,1,1,1,1,1,0,1,3,0,1,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,0
BRA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHE,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,4,0,1,0,0,1,0,1,0,0,1
CHL,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
CHN,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
CMR,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0
CUB,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
DJI,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
ECU,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
ESP,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1
FRA,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1
GAB,1,1,1,1,1,1,1,1,3,1,0,1,0,0,1,1,1,1,1,0,1,1,3,1,0,1,1,1
GBR,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1
GHA,3,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
GTM,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0
HUN,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
JOR,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,1
JPN,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1
KGZ,1,1,1,3,1,1,1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0
KOR,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
LBY,1,1,1,1,1,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
MDA,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
MDV,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
MEX,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
MRT,1,1,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
MUS,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MYS,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
NGA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
NOR,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1
PAK,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
POL,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
QAT,1,1,1,1,1,1,1,0,1,0,3,1,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,0
RUS,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
SAU,1,1,1,1,1,1,1,0,1,3,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
SEN,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
SVK,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,1
SVN,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4
SWZ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4
THA,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
UGA,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
UKR,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3
URY,1,1,1,1,3,3,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
USA,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
ZMB,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1
