Country,A/HRC/RES/37/1,A/HRC/RES/37/3,A/HRC/RES/37/10,A/HRC/RES/37/11,A/HRC/RES/37/21,A/HRC/RES/37/23,A/HRC/RES/37/29,A/HRC/RES/37/30,A/HRC/RES/37/32,A/HRC/RES/37/34,A/HRC/RES/37/35,A/HRC/RES/37/36,A/HRC/RES/37/37,A/HRC/RES/37/40,A/HRC/RES/37/42,A/HRC/RES/S-28/1,A/HRC/RES/38/2,A/HRC/RES/38/3,A/HRC/RES/38/12,A/HRC/RES/38/14,A/HRC/RES/38/16,A/HRC/RES/38/18,A/HRC/RES/39/1,A/HRC/RES/39/2,A/HRC/RES/39/4,A/HRC/RES/39/5,A/HRC/RES/39/8,A/HRC/RES/39/9,A/HRC/RES/39/12,A/HRC/RES/39/14,A/HRC/RES/39/15,A/HRC/RES/39/16
AFG,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0
AGO,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0
ARE,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0
AUS,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1
BDI,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
BEL,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1
BRA,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
CHE,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1
CHL,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
CHN,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
