Resolution,Date,Summary
A/HRC/RES/46/1,2021/03/23,"Promoting reconciliation, accountability and human rights in Sri Lanka :resolution /adopted by the Human Rights Council at its 46th session"
A/HRC/RES/46/2,2021/03/23,Promotion and protection of human rights in Nicaragua :resolution /adopted by the Human Rights Council at its 46th session
A/HRC/RES/46/3,2021/03/23,"Human rights situation in the Occupied Palestinian Territory, including East Jerusalem, and the obligation to ensure accountability and justice :resolution /adopted by the Human Rights Council at its 46th session"
A/HRC/RES/46/5,2021/03/23,The negative impact of unilateral coercive measures on the enjoyment of human rights :resolution /adopted by the Human Rights Council at its 46th session
A/HRC/RES/46/8,2021/03/23,"Effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights :resolution /adopted by the Human Rights Council at its 46th session"
A/HRC/RES/46/11,2021/03/23,"The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation :resolution /adopted by the Human Rights Council at its 46th session"
A/HRC/RES/46/13,2021/03/23,Promoting mutually beneficial cooperation in the field of human rights :resolution /adopted by the Human Rights Council at its 46th session
A/HRC/RES/46/18,2021/03/23,Situation of human rights in the Islamic Republic of Iran :resolution /adopted by the Human Rights Council at its 46th session
A/HRC/RES/46/20,2021/03/24,Situation of human rights in Belarus in the run-up to the 2020 presidential election and in its aftermath :resolution /adopted by the Human Rights Council at its 46th session
A/HRC/RES/46/22,2021/03/24,Situation of human rights in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 46th session
A/HRC/RES/46/23,2021/03/24,Situation of human rights in South Sudan :resolution /adopted by the Human Rights Council at its 46th session
A/HRC/RES/46/24,2021/03/24,Human rights in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 46th session
A/HRC/RES/46/25,2021/03/24,Right of the Palestinian people to self-determination :resolution /adopted by the Human Rights Council at its 46th session
A/HRC/RES/46/26,2021/03/24,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 46th session"
A/HRC/RES/S-30/1,2021/05/27,"Ensuring respect for international human rights law and international humanitarian law in the Occupied Palestinian Territory, including East Jerusalem, and in Israel :resolution /adopted by the Human Rights Council at its 30th special session"
A/HRC/RES/47/2,2021/07/12,Situation of human rights in Eritrea :resolution /adopted by the Human Rights Council at its 47th session
A/HRC/RES/47/9,2021/07/12,Enhancement of international cooperation in the field of human rights :resolution /adopted by the Human Rights Council at its 47th session
A/HRC/RES/47/10,2021/07/12,Human rights and international solidarity :resolution /adopted by the Human Rights Council at its 47th session
A/HRC/RES/47/11,2021/07/12,The contribution of development to the enjoyment of all human rights :resolution /adopted by the Human Rights Council at its 47th session
A/HRC/RES/47/13,2021/07/13,Situation of human rights in the Tigray region of Ethiopia :resolution /adopted by the Human Rights Council at its 47th session
A/HRC/RES/47/14,2021/07/13,Human rights in the context of HIV and AIDS :resolution /adopted by the Human Rights Council at its 47th session
A/HRC/RES/47/16,2021/07/13,"The promotion, protection and enjoyment of human rights on the Internet :resolution /adopted by the Human Rights Council at its 47th session"
A/HRC/RES/47/18,2021/07/13,Situation of human rights in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 47th session
A/HRC/RES/47/19,2021/07/13,Situation of human rights in Belarus :resolution /adopted by the Human Rights Council at its 47th session
A/HRC/RES/47/22,2021/07/13,Cooperation with and assistance to Ukraine in the field of human rights :resolution /adopted by the Human Rights Council at its 47th session
A/HRC/RES/47/23,2021/07/13,New and emerging digital technologies and human rights :resolution /adopted by the Human Rights Council at its 47th session
A/HRC/RES/47/24,2021/07/14,Human rights and climate changes :resolution /adopted by the Human Rights Council at its 47th session
A/HRC/RES/48/5,2021/10/07,The use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination :resolution /adopted by the Human Rights Council at its 48th session
A/HRC/RES/48/1,2021/10/07,Situation of human rights in Afghanistan :resolution /adopted by the Human Rights Council at its 48th session
A/HRC/RES/48/7,2021/10/08,Negative impact of the legacies of colonialism on the enjoyment of human rights :resolution /adopted by the Human Rights Council at its 48th session
A/HRC/RES/48/8,2021/10/08,Promotion of a democratic and equitable international order :resolution /adopted by the Human Rights Council at its 48th session
A/HRC/RES/48/9,2021/10/08,Question of the death penalty :resolution /adopted by the Human Rights Council at its 48th session
A/HRC/RES/48/10,2021/10/08,The right to development :resolution /adopted by the Human Rights Council at its 48th session
A/HRC/RES/48/13,2021/10/08,"The human right to a clean, healthy and sustainable environment :resolution /adopted by the Human Rights Council at its 48th session"
A/HRC/RES/48/14,2021/10/08,Mandate of the Special Rapporteur on the promotion and protection of human rights in the context of climate change :resolution /adopted by the Human Rights Council at its 48th session
A/HRC/RES/48/15,2021/10/08,Situation of human rights in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 48th session
A/HRC/RES/48/16,2021/10/08,Situation of human rights in Burundi :resolution /adopted by the Human Rights Council at its 48th session
A/HRC/RES/48/18,2021/10/11,"From rhetoric to reality : a global call for concrete action against racism, racial discrimination, xenophobia and related intolerance :resolution /adopted by the Human Rights Council at its 48th session"
A/HRC/RES/S-33/1,2021/12/17,Situation of human rights in Ethiopia  :resolution /adopted by the Human Rights Council at its 33rd special session
