Country,A/HRC/RES/55/1,A/HRC/RES/55/6,A/HRC/RES/55/7,A/HRC/RES/55/14,A/HRC/RES/55/19,A/HRC/RES/55/22,A/HRC/RES/55/23,A/HRC/RES/55/27,A/HRC/RES/55/28,A/HRC/RES/55/30,A/HRC/RES/55/31,A/HRC/RES/55/32,A/HRC/RES/56/2,A/HRC/RES/56/4,A/HRC/RES/56/18,A/HRC/RES/56/17,A/HRC/RES/56/20,A/HRC/RES/56/21,A/HRC/RES/57/2,A/HRC/RES/57/7,A/HRC/RES/57/8,A/HRC/RES/57/19,A/HRC/RES/57/20,A/HRC/RES/57/21,A/HRC/RES/57/22,A/HRC/RES/57/25,A/HRC/RES/57/33,A/HRC/RES/57/36
ALB,1,0,0,1,1,1,1,1,0,0,0,0,0,0,4,1,4,4,1,0,0,0,1,1,1,0,1,1
ARE,0,1,1,0,0,0,1,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
ARG,1,0,0,1,1,1,1,1,0,0,0,0,0,0,4,1,4,4,1,0,0,0,1,1,1,0,1,1
BDI,0,1,1,0,0,0,0,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
BEL,1,0,0,1,1,1,1,1,1,1,0,1,0,0,4,1,4,4,1,0,0,0,1,1,1,0,1,1
BEN,0,1,1,0,1,1,1,1,0,1,1,1,1,1,4,0,4,4,0,1,1,1,0,1,0,1,0,0
BGD,0,1,1,0,0,0,0,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
BGR,1,0,0,1,1,1,1,1,0,1,0,0,0,0,4,1,4,4,1,0,0,0,1,1,1,0,1,1
BRA,0,1,1,1,0,0,0,1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,0,0,1,1,0,0
CHL,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,1,4,4,1,0,1,0,1,1,1,1,1,1
CHN,0,1,1,0,0,0,0,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
CIV,0,1,1,0,0,1,1,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,1,0,1,1,0
CMR,0,1,1,0,0,0,0,0,0,0,0,0,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
CRI,1,1,1,1,1,1,1,1,0,1,1,1,1,0,4,1,4,4,1,0,1,0,1,1,1,1,1,1
CUB,0,1,1,1,0,0,0,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
DEU,1,0,0,1,1,1,1,1,0,1,0,0,0,0,4,1,4,4,1,0,0,0,1,1,1,0,1,1
DOM,1,1,1,1,1,1,1,1,0,1,1,1,0,1,4,1,4,4,1,0,0,1,0,1,1,0,1,1
DZA,0,1,1,0,0,0,0,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
ERI,0,1,1,0,0,0,0,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
FIN,1,0,0,1,1,1,1,1,1,1,0,1,0,0,4,1,4,4,1,0,0,0,1,1,1,0,1,1
FRA,1,0,0,1,1,1,1,1,0,1,0,1,0,0,4,1,4,4,1,0,0,0,1,1,1,0,1,1
GEO,1,0,0,0,0,1,1,0,0,1,0,0,0,0,4,0,4,4,1,0,0,0,1,1,1,0,1,1
GHA,0,1,1,1,0,1,1,1,1,1,1,1,1,1,4,0,4,4,1,1,1,1,1,1,0,1,1,0
GMB,0,1,1,0,1,1,1,1,1,1,1,1,1,1,4,0,4,4,0,1,1,1,1,1,0,1,1,1
HND,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,0,1,1,1,0,0
IDN,0,1,1,0,0,0,1,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
IND,0,1,1,1,0,0,0,0,0,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
JPN,1,0,0,1,1,1,1,1,0,1,0,1,0,0,4,1,4,4,1,0,0,0,1,1,1,0,1,1
KAZ,0,1,1,0,0,0,0,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,1,1,0,0
KGZ,1,1,1,0,0,0,0,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
KWT,0,1,1,0,0,1,0,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
LTU,1,0,0,1,1,1,1,1,0,1,0,0,0,0,4,1,4,4,1,0,0,0,1,1,1,0,1,1
LUX,1,0,0,1,1,1,1,1,1,1,0,1,0,0,4,1,4,4,1,0,0,0,1,1,1,0,1,1
MAR,0,0,1,0,1,0,0,0,1,1,1,1,1,0,4,0,4,4,0,0,0,1,0,0,0,1,0,1
MDV,0,1,1,0,0,0,0,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,1,0
MNE,1,0,0,1,1,1,1,1,0,1,0,1,0,0,4,1,4,4,1,0,0,0,1,1,1,0,1,1
MWI,0,1,1,0,1,1,1,1,0,1,0,0,1,1,4,0,4,4,0,1,1,1,0,1,0,1,1,1
MYS,0,1,1,0,0,0,1,0,1,1,1,1,1,1,4,0,4,4,0,1,1,1,0,0,0,1,0,0
NLD,1,0,0,1,1,1,1,1,0,1,0,1,0,0,4,1,4,4,1,0,0,0,1,1,1,0,1,1
