Country,A/HRC/18/L.33,A/HRC/18/L.34,A/HRC/19/L.41,A/HRC/19/L.42
AGO,4,1,1,4
AUT,4,0,0,4
BEL,4,0,0,4
BEN,4,1,0,4
BFA,4,1,0,4
BGD,4,1,1,4
BWA,4,0,0,4
CHE,4,0,0,4
CHL,4,0,0,4
CHN,4,1,1,4
CMR,4,1,1,4
COG,4,1,1,4
CRI,4,0,0,4
CUB,4,1,1,4
CZE,4,0,0,4
DJI,4,1,0,4
ECU,4,1,0,4
ESP,4,0,0,4
GTM,4,0,0,4
HUN,4,0,0,4
IDN,4,1,1,4
IND,4,1,1,4
ITA,4,0,0,4
JOR,4,1,0,4
KGZ,4,1,1,4
KWT,4,3,0,4
LBY,4,3,0,4
MDA,4,0,3,4
MDV,4,0,0,4
MEX,4,0,0,4
MRT,4,0,1,4
MUS,4,0,3,4
MYS,4,1,1,4
NGA,4,1,0,4
NOR,4,0,0,4
PER,4,0,0,4
PHL,4,1,1,4
POL,4,0,0,4
QAT,4,1,0,4
ROU,4,0,0,4
RUS,4,1,1,4
SAU,4,1,0,4
SEN,4,1,0,4
THA,4,1,1,4
UGA,4,1,1,4
URY,4,0,0,4
USA,4,0,0,4
