Country,A/HRC/24/L.40,A/HRC/24/L.41,A/HRC/24/L.43,A/HRC/24/L.44,A/HRC/24/L.46,A/HRC/24/L.47,A/HRC/24/L.48,A/HRC/24/L.51,A/HRC/24/L.52
AGO,0,0,0,0,0,0,0,0,0
ARE,1,1,1,1,1,1,1,1,1
ARG,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0
BEN,0,0,0,0,0,0,0,0,0
BFA,0,0,0,0,0,0,0,0,0
BRA,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,0,0
CHE,0,0,0,0,0,0,0,0,0
CHL,0,0,0,0,0,0,0,0,0
CIV,0,0,0,0,0,0,0,0,0
COG,0,0,0,1,0,0,0,0,0
CRI,0,0,0,0,0,0,0,0,0
CZE,0,0,0,0,0,0,0,0,0
DEU,0,0,0,0,0,0,0,0,0
ECU,1,1,1,1,1,1,1,0,0
ESP,0,0,0,0,0,0,0,0,0
EST,0,0,0,0,0,0,0,0,0
ETH,1,1,1,1,1,1,1,1,1
GAB,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,0,0,0
IDN,1,1,1,1,1,1,1,1,0
IND,1,1,1,1,1,1,1,1,1
IRL,0,0,0,0,0,0,0,0,0
ITA,0,0,0,0,0,0,0,0,0
JPN,0,0,0,0,0,0,0,0,0
KAZ,1,1,1,1,1,1,1,0,0
KEN,1,1,1,1,1,1,1,0,0
KOR,0,0,0,0,0,0,0,0,0
KWT,1,1,1,1,1,1,1,1,1
LBY,1,1,1,1,1,1,1,1,1
MDA,0,0,0,0,0,0,0,0,0
MDV,0,0,0,0,0,0,0,0,0
MNE,0,0,0,0,0,0,0,0,0
MRT,1,1,1,1,1,1,1,1,1
MYS,1,1,1,1,1,1,1,1,1
PAK,1,1,1,1,1,1,1,1,1
PER,0,0,0,0,0,0,0,0,0
PHL,0,0,0,1,1,1,1,0,0
POL,0,0,0,0,0,0,0,0,0
QAT,1,1,1,1,1,1,1,1,1
ROU,0,0,0,0,0,0,0,0,0
SLE,0,0,0,0,0,0,0,0,0
THA,0,0,0,0,0,0,0,0,0
UGA,1,1,1,1,1,1,1,1,1
USA,0,0,0,0,0,0,0,0,0
VEN,1,1,1,1,1,1,1,1,1
