Resolution,Date,Summary
A/HRC/25/L.46,2014/03/25,Special Rapporteur on the situation of human rights defenders :amendment /Human Rights Council at its 25th session
A/HRC/25/L.47,2014/03/25,Special Rapporteur on the situation of human rights defenders :amendment /Human Rights Council at its 25th session
A/HRC/26/L.34,2014/06/24,The question of the death penalty :amendment /Human Rights Council at its 26th session
A/HRC/26/L.35,2014/06/24,The question of the death penalty :amendment /Human Rights Council at its 26th session
A/HRC/26/L.36,2014/06/24,The question of the death penalty :amendment /Human Rights Council at its 26th session
A/HRC/26/L.37,2014/06/24,Protection of the family :amendment /Human Rights Council at its 26th session
A/HRC/27/L.33,2014/09/23,Human rights and unilateral coercive measures :amendment /Human Rights Council at its 27th session
A/HRC/27/L.44,2014/09/23,Human rights and unilateral coercive measures :amendment /Human Rights Council at its 27th session
A/HRC/27/L.34,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.35,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.36,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.38,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.39,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.40,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.41,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.42,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.43,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.45,2014/09/23,"Human rights, sexual orientation and gender identity :amendment /Human Rights Council at its 27th session"
A/HRC/27/L.46,2014/09/23,"Human rights, sexual orientation and gender identity :amendment /Human Rights Council at its 27th session"
A/HRC/27/L.47,2014/09/23,"Human rights, sexual orientation and gender identity :amendment /Human Rights Council at its 27th session"
A/HRC/27/L.48,2014/09/23,"Human rights, sexual orientation and gender identity :amendment /Human Rights Council at its 27th session"
A/HRC/27/L.49,2014/09/23,"Human rights, sexual orientation and gender identity :amendment /Human Rights Council at its 27th session"
A/HRC/27/L.50,2014/09/23,"Human rights, sexual orientation and gender identity :amendment /Human Rights Council at its 27th session"
A/HRC/27/L.51,2014/09/23,"Human rights, sexual orientation and gender identity :amendment /Human Rights Council at its 27th session"
