Country,A/HRC/28/L.36,A/HRC/28/L.38,A/HRC/28/L.42,A/HRC/29/L.26,A/HRC/29/L.27,A/HRC/29/L.28,A/HRC/29/L.29,A/HRC/29/L.31,A/HRC/29/L.37,A/HRC/29/L.38,A/HRC/29/L.39,A/HRC/29/L.40,A/HRC/30/L.33,A/HRC/30/L.34,A/HRC/30/L.35,A/HRC/30/L.36,A/HRC/30/L.37,A/HRC/30/L.38,A/HRC/30/L.39,A/HRC/30/L.40
ALB,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
ARE,0,1,1,1,1,1,1,0,1,0,4,0,0,1,1,1,0,0,0,0
ARG,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0,1
BGD,0,1,1,1,1,1,1,1,1,0,4,0,0,1,1,1,0,0,0,0
BOL,1,1,1,3,3,3,3,0,1,0,4,0,1,3,3,3,1,1,1,1
BRA,1,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,1
BWA,0,0,0,0,1,1,1,0,0,0,4,0,0,1,1,1,0,0,0,0
CHN,1,1,1,1,1,1,1,1,1,0,4,0,1,1,1,1,1,1,1,1
CIV,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
COG,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
CUB,1,1,1,3,3,3,3,0,3,3,4,3,1,1,1,1,1,1,1,1
DEU,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
DZA,1,0,1,0,0,0,0,0,1,0,4,0,1,1,1,0,1,1,1,1
EST,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
ETH,0,1,0,1,1,1,1,0,1,0,4,0,0,1,1,1,0,0,0,0
FRA,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
GBR,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
GHA,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
IDN,1,1,1,1,1,1,1,1,1,0,4,0,1,1,1,1,1,0,0,1
IND,0,1,1,1,1,0,1,1,1,0,4,0,0,1,1,1,1,0,1,1
IRL,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
JPN,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0
KAZ,1,0,0,0,0,0,0,1,1,0,4,0,1,0,0,0,1,1,1,1
KEN,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
LVA,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
MAR,0,0,0,1,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0
MDV,3,3,3,1,0,1,0,0,1,0,4,0,1,1,1,0,0,0,0,0
MEX,0,0,0,0,3,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
MKD,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
MNE,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
NAM,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
NGA,0,0,0,1,1,1,0,0,1,0,4,0,0,1,1,1,1,0,0,0
NLD,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
PAK,1,1,1,1,1,1,1,1,1,0,4,0,0,1,1,1,1,1,1,1
PRT,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
PRY,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
QAT,0,0,0,1,1,1,1,0,1,0,4,0,0,1,1,1,0,0,0,0
RUS,1,1,1,1,1,1,1,1,1,0,4,0,1,1,1,1,1,1,1,1
SAU,0,1,1,1,1,1,1,1,1,0,4,0,0,1,1,0,0,0,0,0
SLE,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
SLV,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
USA,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0
VEN,1,1,1,3,3,3,3,0,1,0,4,0,1,3,3,3,1,1,1,1
VNM,0,1,1,0,0,0,0,0,0,0,4,0,0,1,1,1,1,1,1,1
ZAF,0,1,1,0,0,0,0,0,0,1,4,1,0,0,0,0,1,1,1,1
