Country,A/HRC/34/L.42,A/HRC/34/L.43,A/HRC/34/L.44,A/HRC/34/L.45,A/HRC/34/L.51,A/HRC/34/L.47,A/HRC/34/L.52,A/HRC/35/L.39,A/HRC/35/L.40,A/HRC/35/L.45,A/HRC/35/L.47,A/HRC/35/L.48,A/HRC/35/L.41,A/HRC/35/L.42,A/HRC/35/L.43,A/HRC/35/L.44,A/HRC/35/L.46,A/HRC/36/L.63,A/HRC/36/L.64,A/HRC/36/L.37,A/HRC/36/L.38,A/HRC/36/L.39,A/HRC/36/L.40,A/HRC/36/L.41,A/HRC/36/L.42,A/HRC/36/L.62,A/HRC/36/L.43,A/HRC/36/L.45,A/HRC/36/L.46,A/HRC/36/L.47,A/HRC/36/L.48,A/HRC/36/L.49,A/HRC/36/L.50,A/HRC/36/L.51,A/HRC/36/L.52,A/HRC/36/L.53,A/HRC/36/L.54,A/HRC/36/L.55,A/HRC/36/L.56,A/HRC/36/L.57,A/HRC/36/L.58,A/HRC/36/L.59,A/HRC/36/L.60,A/HRC/36/L.61
ALB,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
BDI,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEL,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BOL,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,3,3,1,1,3,3,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BRA,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
BWA,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1
CHE,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
