Country,A/HRC/49/L.46,A/HRC/49/L.47,A/HRC/49/L.36,A/HRC/49/L.37,A/HRC/50/L.48,A/HRC/50/L.25,A/HRC/50/L.26,A/HRC/50/L.27,A/HRC/50/L.28,A/HRC/50/L.29,A/HRC/50/L.30,A/HRC/50/L.31,A/HRC/50/L.32,A/HRC/50/L.33,A/HRC/50/L.34,A/HRC/50/L.35,A/HRC/50/L.36,A/HRC/50/L.37 as orally revised,A/HRC/50/L.38,A/HRC/50/L.39,A/HRC/50/L.40,A/HRC/50/L.43,A/HRC/50/L.45,A/HRC/50/L.46,A/HRC/50/L.47,A/HRC/50/L.56,A/HRC/50/L.57,A/HRC/50/L.58,A/HRC/50/L.59,A/HRC/50/L.61,A/HRC/51/L.43,A/HRC/51/L.44,A/HRC/51/L.49,A/HRC/51/L.50,A/HRC/51/L.51,A/HRC/51/L.52,A/HRC/51/L.53,A/HRC/51/L.54,A/HRC/51/L.64,A/HRC/51/L.66
ARE,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,3,3,1,0,3,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,4,0,3,3,3,1,0,0,0,1,3,3,3,3,3,3,3,3,1,3
BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0
CHN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CIV,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMR,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUB,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,3,1,1,3,3,3,3,3,3,3,3,1,3
