Resolution,Date,Summary
A/HRC/2/L.48,2006/10/03,Implementation of General Assembly resolution 60/251 of 15 March 2006 entitled “human rights council” :amendment /Human Rights Council at its 2nd session
A/HRC/7/L.39,2008/03/20,Mandate of the Special Rapporteur on the promotion and protection of the right to freedom of opinion and expression :amendment /Human Rights Council at its 7th session
A/HRC/15/L.35,2010/09/28,The Situation of human rights in the Sudan :amendment /Human Rights Council at its 15th session
A/HRC/18/L.33,2011/09/26,Promotion of a democratic and equitable international order :amendment /Human Rights Council at its 18th session
A/HRC/18/L.34,2011/09/26,Forum on Minority Issues :amendment /Human Rights Council at its 18th session
A/HRC/19/L.41,2012/03/21,Forum on Minority Issues :amendment /Human Rights Council at its 19th session
A/HRC/19/L.42,2012/03/21,Forum on Minority Issues :amendment /Human Rights Council at its 19th session
A/HRC/24/L.40,2013/09/24,"Cooperation with the United Nations, its representatives and mechanisms in the field of human rights :amendment /Human Rights Council at its 24th session"
A/HRC/24/L.41,2013/09/24,"Cooperation with the United Nations, its representatives and mechanisms in the field of human rights :amendment /Human Rights Council at its 24th session"
A/HRC/24/L.43,2013/09/24,"Cooperation with the United Nations, its representatives and mechanisms in the field of human rights :amendment /Human Rights Council at its 24th session"
A/HRC/24/L.44,2013/09/24,"Cooperation with the United Nations, its representatives and mechanisms in the field of human rights :amendment /Human Rights Council at its 24th session"
A/HRC/24/L.46,2013/09/24,"Cooperation with the United Nations, its representatives and mechanisms in the field of human rights :amendment /Human Rights Council at its 24th session"
A/HRC/24/L.47,2013/09/24,"Cooperation with the United Nations, its representatives and mechanisms in the field of human rights :amendment /Human Rights Council at its 24th session"
A/HRC/24/L.48,2013/09/24,"Cooperation with the United Nations, its representatives and mechanisms in the field of human rights :amendment /Human Rights Council at its 24th session"
A/HRC/24/L.51,2013/09/24,"Civil society space - Creating and maintaining, in law and in practice, a safe and enabling environment :amendment /Human Rights Council at its 24th session"
A/HRC/24/L.52,2013/09/24,"Civil society space - Creating and maintaining, in law and in practice, a safe and enabling environment :amendment /Human Rights Council at its 24th session"
A/HRC/25/L.46,2014/03/25,Special Rapporteur on the situation of human rights defenders :amendment /Human Rights Council at its 25th session
A/HRC/25/L.47,2014/03/25,Special Rapporteur on the situation of human rights defenders :amendment /Human Rights Council at its 25th session
A/HRC/26/L.34,2014/06/24,The question of the death penalty :amendment /Human Rights Council at its 26th session
A/HRC/26/L.35,2014/06/24,The question of the death penalty :amendment /Human Rights Council at its 26th session
A/HRC/26/L.36,2014/06/24,The question of the death penalty :amendment /Human Rights Council at its 26th session
A/HRC/26/L.37,2014/06/24,Protection of the family :amendment /Human Rights Council at its 26th session
A/HRC/27/L.33,2014/09/23,Human rights and unilateral coercive measures :amendment /Human Rights Council at its 27th session
A/HRC/27/L.44,2014/09/23,Human rights and unilateral coercive measures :amendment /Human Rights Council at its 27th session
A/HRC/27/L.34,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.35,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.36,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.38,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.39,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.40,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.41,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.42,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.43,2014/09/23,Civil society space :amendment /Human Rights Council at its 27th session
A/HRC/27/L.45,2014/09/23,"Human rights, sexual orientation and gender identity :amendment /Human Rights Council at its 27th session"
A/HRC/27/L.46,2014/09/23,"Human rights, sexual orientation and gender identity :amendment /Human Rights Council at its 27th session"
A/HRC/27/L.47,2014/09/23,"Human rights, sexual orientation and gender identity :amendment /Human Rights Council at its 27th session"
A/HRC/27/L.48,2014/09/23,"Human rights, sexual orientation and gender identity :amendment /Human Rights Council at its 27th session"
