Country,A/HRC/29/L.37,A/HRC/29/L.38,A/HRC/29/L.39,A/HRC/29/L.40
ALB,0,1,4,1
ARE,1,0,4,0
ARG,0,1,4,1
BGD,1,0,4,0
BOL,1,0,4,0
BRA,0,1,4,1
BWA,0,0,4,0
CHN,1,0,4,0
CIV,1,0,4,0
COG,1,0,4,0
CUB,3,3,4,3
DEU,0,1,4,1
DZA,1,0,4,0
EST,0,1,4,1
ETH,1,0,4,0
FRA,0,1,4,1
GAB,0,0,4,0
GBR,0,1,4,1
GHA,0,0,4,1
IDN,1,0,4,0
IND,1,0,4,0
IRL,0,1,4,1
JPN,0,1,4,1
KAZ,1,0,4,0
KEN,1,0,4,0
KOR,0,1,4,1
LVA,0,1,4,1
MAR,1,0,4,0
MDV,1,0,4,0
MEX,0,1,4,1
MKD,0,0,4,0
MNE,0,1,4,1
NAM,1,0,4,0
NGA,1,0,4,0
NLD,0,1,4,1
PAK,1,0,4,0
PRT,0,1,4,1
PRY,0,1,4,1
QAT,1,0,4,0
RUS,1,0,4,0
SAU,1,0,4,0
SLE,0,0,4,0
SLV,1,0,4,0
USA,0,1,4,1
VEN,1,0,4,0
VNM,0,0,4,0
ZAF,0,1,4,1
