Country,Country Long,party
ARE,United Arab Emirates,GLOBAL_SOUTH
ARG,Argentina,GLOBAL_SOUTH
BEL,Belgium,GLOBAL_NORTH
BEN,Benin,GLOBAL_SOUTH
BGD,Bangladesh,GLOBAL_SOUTH
BOL,"Bolivia, Plurinational State of",GLOBAL_SOUTH
CHL,Chile,GLOBAL_SOUTH
CHN,China,GLOBAL_SOUTH
CIV,Côte d'Ivoire,GLOBAL_SOUTH
CMR,Cameroon,GLOBAL_SOUTH
CRI,Costa Rica,GLOBAL_SOUTH
CUB,Cuba,GLOBAL_SOUTH
CZE,Czechia,GLOBAL_NORTH
DEU,Germany,GLOBAL_NORTH
DZA,Algeria,GLOBAL_SOUTH
ERI,Eritrea,GLOBAL_SOUTH
FIN,Finland,GLOBAL_NORTH
FRA,France,GLOBAL_NORTH
GAB,Gabon,GLOBAL_SOUTH
GBR,United Kingdom of Great Britain and Northern Ireland,GLOBAL_NORTH
GEO,Georgia,GLOBAL_NORTH
GMB,Gambia,GLOBAL_SOUTH
HND,Honduras,GLOBAL_SOUTH
IND,India,GLOBAL_SOUTH
KAZ,Kazakhstan,GLOBAL_NORTH
KGZ,Kyrgyzstan,GLOBAL_NORTH
LTU,Lithuania,GLOBAL_NORTH
LUX,Luxembourg,GLOBAL_NORTH
MAR,Morocco,GLOBAL_SOUTH
MDV,Maldives,GLOBAL_SOUTH
MEX,Mexico,GLOBAL_NORTH
MNE,Montenegro,GLOBAL_NORTH
MWI,Malawi,GLOBAL_SOUTH
MYS,Malaysia,GLOBAL_SOUTH
NPL,Nepal,GLOBAL_SOUTH
PAK,Pakistan,GLOBAL_SOUTH
PRY,Paraguay,GLOBAL_SOUTH
QAT,Qatar,GLOBAL_SOUTH
ROU,Romania,GLOBAL_NORTH
SDN,Sudan,GLOBAL_SOUTH
SEN,Senegal,GLOBAL_SOUTH
SOM,Somalia,GLOBAL_SOUTH
UKR,Ukraine,GLOBAL_NORTH
USA,United States of America,GLOBAL_NORTH
UZB,Uzbekistan,GLOBAL_NORTH
VNM,Viet Nam,GLOBAL_SOUTH
ZAF,South Africa,GLOBAL_SOUTH
