Resolution,Date,Summary
A/HRC/RES/12/23,2009/10/02,The right to development :resolution /adopted by the Human Rights Council at its 12th session
A/HRC/RES/15/25,2010/10/01,The right to development :resolution /adopted by the Human Rights Council at its 15th session
A/HRC/RES/18/26,2011/09/30,The right to development :resolution /adopted by the Human Rights Council at its 18th session
A/HRC/RES/19/34,2012/03/23,The right to development :resolution /adopted by the Human Rights Council at its 19th session
A/HRC/RES/21/32,2012/09/28,The right to development :resolution /adopted by the Human Rights Council at its 21st session
A/HRC/RES/24/4,2013/09/26,The right to development :resolution /adopted by the Human Rights Council at its 24th session
A/HRC/RES/27/2,2014/09/25,The right to development :resolution /adopted by the Human Rights Council at its 27th session
A/HRC/29/L.37,2015/07/01,Protection of the family: The contribution of the family to the realization of the right to an adequate standard of living for its members particularly through its role in poverty eradication and achieving sustainable development :amendment /Human Rights Council at its 29th session
A/HRC/29/L.38,2015/07/01,Protection of the family: The contribution of the family to the realization of the right to an adequate standard of living for its members particularly through its role in poverty eradication and achieving sustainable development :amendment /Human Rights Council at its 29th session
A/HRC/29/L.39,2015/07/01,Protection of the family: The contribution of the family to the realization of the right to an adequate standard of living for its members particularly through its role in poverty eradication and achieving sustainable development :amendment /Human Rights Council at its 29th session
A/HRC/29/L.40,2015/07/01,Protection of the family: The contribution of the family to the realization of the right to an adequate standard of living for its members particularly through its role in poverty eradication and achieving sustainable development :amendment /Human Rights Council at its 29th session
A/HRC/RES/31/4,2016/03/23,Commemoration of the thirtieth  anniversary of the Declaration on the Right to Development :resolution /adopted by the Human Rights Council at its 31st session
A/HRC/RES/33/14,2016/09/29,The right to development :resolution /adopted by the Human Rights Council at its 33rd session
A/HRC/RES/35/21,2017/06/22,The contribution of development to the enjoyment of all human rights :resolution /adopted by the Human Rights Council at its 35th session
A/HRC/RES/36/9,2017/09/28,The right to development :resolution /adopted by the Human Rights Council at its 36th session
A/HRC/RES/39/9,2018/09/27,The right to development :resolution /adopted by the Human Rights Council at its 39th session
A/HRC/RES/41/19,2019/07/12,The contribution of development to the enjoyment of all human rights :resolution /adopted by the Human Rights Council at its 41st session
A/HRC/RES/42/23,2019/09/27,The right to development :resolution /adopted by the Human Rights Council at its 42nd session
A/HRC/RES/45/6,2020/10/06,The right to development :resolution /adopted by the Human Rights Council at its 45th session
A/HRC/RES/47/11,2021/07/12,The contribution of development to the enjoyment of all human rights :resolution /adopted by the Human Rights Council at its 47th session
A/HRC/RES/48/10,2021/10/08,The right to development :resolution /adopted by the Human Rights Council at its 48th session
A/HRC/RES/49/8,2022/03/31,Commemoration of the thirty-fifth anniversary of the Declaration on the Right to Development :resolution /adopted by the Human Rights Council at its 49th session
A/HRC/RES/51/7,2022/10/06,The right to development :resolution /adopted by the Human Rights Council at its 51st session
A/HRC/RES/53/28,2023/07/14,The contribution of development to the enjoyment of all human rights :resolution /adopted by the Human Rights Council at its 53rd session
A/HRC/RES/54/18,2023/10/12,The right to development :resolution /adopted by the Human Rights Council at its 54th session
A/HRC/RES/57/19,2024/10/10,The right to development  :resolution /adopted by the Human Rights Council at its 57th session
