Country,A/HRC/RES/12/23,A/HRC/RES/15/25,A/HRC/RES/18/26,A/HRC/RES/19/34,A/HRC/RES/21/32,A/HRC/RES/24/4,A/HRC/RES/27/2,A/HRC/29/L.37,A/HRC/29/L.38,A/HRC/29/L.39,A/HRC/29/L.40,A/HRC/RES/31/4,A/HRC/RES/33/14,A/HRC/RES/35/21,A/HRC/RES/36/9,A/HRC/RES/39/9,A/HRC/RES/41/19,A/HRC/RES/42/23,A/HRC/RES/45/6,A/HRC/RES/47/11,A/HRC/RES/48/10,A/HRC/RES/49/8,A/HRC/RES/51/7,A/HRC/RES/53/28,A/HRC/RES/54/18,A/HRC/RES/57/19
AFG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,4,4,4,4,4,4
AGO,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,4,4,4,4,4,4,4
ALB,4,4,4,4,4,4,4,0,1,4,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0
ARE,4,4,4,4,4,1,1,1,0,4,0,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1
ARG,1,1,4,4,4,1,1,0,1,4,1,4,4,4,4,4,1,0,1,1,1,1,1,1,0,0
ARM,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,4,4,4
AUS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,4,4,4,4,4,4,4
AUT,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4,4,4
BDI,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1
BEL,0,1,1,1,1,4,4,4,4,4,4,0,0,0,0,0,4,4,4,4,4,4,4,0,0,0
BEN,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1
BFA,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4
BGD,1,1,1,1,1,4,4,1,0,4,0,1,1,1,1,4,1,1,1,1,1,4,4,1,1,1
