Country,A/HRC/DEC/1/106,A/HRC/RES/S-1/1,A/HRC/RES/S-3/1,A/HRC/RES/2/4,A/HRC/RES/3/1
ARG,1,1,1,1,1
AZE,1,1,1,1,1
BGD,1,1,1,1,1
BHR,1,1,1,1,1
BRA,1,1,1,1,1
CAN,0,0,0,0,0
CHE,0,0,0,1,0
CHN,1,1,1,1,1
CMR,0,0,3,0,0
CUB,1,1,1,1,1
CZE,0,0,0,1,0
DEU,0,0,0,1,0
DJI,3,3,1,1,1
DZA,1,1,1,1,1
ECU,1,1,1,1,1
FIN,0,0,0,1,0
FRA,0,0,0,1,0
GAB,1,3,1,1,1
GBR,0,0,0,1,0
GHA,0,1,1,1,1
GTM,0,1,0,1,1
IDN,1,1,1,1,1
IND,1,1,1,1,1
JOR,1,1,1,1,1
JPN,0,0,0,1,0
KOR,0,0,0,1,1
LKA,1,1,1,1,1
MAR,1,1,1,1,1
MEX,1,0,1,1,1
MLI,1,1,1,1,1
MUS,1,1,1,1,1
MYS,1,1,1,1,1
NGA,0,0,1,1,1
NLD,0,0,0,1,0
PAK,1,1,1,1,1
PER,1,1,1,1,1
PHL,1,1,1,1,1
POL,0,0,0,1,0
ROU,0,0,0,1,0
RUS,1,1,1,1,1
SAU,1,1,1,1,1
SEN,1,1,1,1,1
TUN,1,1,1,1,1
UKR,0,0,0,1,0
URY,1,1,1,1,1
ZAF,1,1,1,1,1
ZMB,1,1,1,1,1
