Country,A/HRC/RES/6/19,A/HRC/RES/S-6/1,A/HRC/RES/7/1
AGO,1,1,1
AZE,1,1,1
BGD,1,1,1
BIH,0,0,0
BOL,1,1,1
BRA,1,1,1
CAN,0,0,0
CHE,0,0,1
CHN,1,1,1
CMR,0,0,0
CUB,1,1,1
DEU,0,0,0
DJI,1,1,1
EGY,1,1,1
FRA,0,0,0
GAB,1,3,1
GBR,0,0,0
GHA,1,0,1
GTM,0,0,0
IDN,1,1,1
IND,1,1,1
ITA,0,0,0
JOR,1,1,1
JPN,0,0,0
KOR,0,0,0
LKA,1,1,1
MDG,0,1,1
MEX,1,1,1
MLI,1,1,1
MUS,1,1,1
MYS,1,1,1
NGA,1,1,1
NIC,1,1,1
NLD,0,0,0
PAK,1,1,1
PER,1,1,1
PHL,1,1,1
QAT,1,1,1
ROU,0,0,0
RUS,1,1,1
SAU,1,1,1
SEN,1,1,1
SVN,0,0,0
UKR,0,0,0
URY,1,1,1
ZAF,1,1,1
ZMB,1,1,1
