Country,A/HRC/RES/9/18,A/HRC/RES/S-9/1,A/HRC/RES/10/18,A/HRC/RES/10/19,A/HRC/RES/10/21
AGO,1,1,1,1,1
ARG,1,1,1,1,1
AZE,1,1,1,1,1
BFA,1,1,1,1,1
BGD,1,1,1,1,1
BHR,1,1,1,1,1
BIH,0,0,1,1,0
BOL,1,1,1,1,1
BRA,1,1,1,1,1
CAN,0,0,0,0,0
CHE,0,0,1,1,0
CHL,1,1,1,1,1
CHN,1,1,1,1,1
CMR,0,0,1,0,0
CUB,1,1,1,1,1
DEU,0,0,1,0,0
DJI,1,1,1,1,1
EGY,1,1,1,1,1
FRA,0,0,1,0,0
GAB,1,1,1,1,1
GBR,0,0,1,0,0
GHA,1,1,1,1,1
IDN,1,1,1,1,1
IND,1,1,1,1,1
ITA,0,0,1,0,0
JOR,1,1,1,1,1
JPN,0,0,1,0,0
KOR,0,0,1,0,0
MDG,3,1,1,1,1
MEX,1,1,1,1,1
MUS,1,1,1,1,1
MYS,1,1,1,1,1
NGA,1,1,1,1,1
NIC,1,1,1,1,1
NLD,0,0,1,0,0
PAK,1,1,1,1,1
PHL,1,1,1,1,1
QAT,1,1,1,1,1
RUS,1,1,1,1,1
SAU,1,1,1,1,1
SEN,1,1,1,1,1
SVK,0,0,1,0,0
SVN,0,0,1,0,0
UKR,0,0,1,0,0
URY,1,1,1,1,1
ZAF,1,1,1,1,1
ZMB,1,1,1,1,1
