Country,A/HRC/RES/S-12/1,A/HRC/RES/13/6,A/HRC/RES/13/7,A/HRC/RES/13/8
AGO,3,1,1,1
ARG,1,1,1,1
BEL,0,1,1,0
BFA,0,1,1,0
BGD,1,1,1,1
BHR,1,1,1,1
BIH,0,1,1,0
BOL,1,1,1,1
BRA,1,1,1,1
CHL,1,1,1,1
CHN,1,1,1,1
CMR,0,3,1,0
CUB,1,1,1,1
DJI,1,1,1,1
EGY,1,1,1,1
FRA,3,1,1,0
GAB,0,1,1,1
GBR,0,1,1,0
GHA,1,1,1,1
HUN,0,1,1,0
IDN,1,1,1,1
IND,1,1,1,1
ITA,0,1,1,0
JOR,1,1,1,1
JPN,0,1,1,0
KGZ,3,1,1,1
KOR,0,1,1,0
MDG,3,1,1,1
MEX,0,1,1,1
MUS,1,1,1,1
NGA,1,1,1,1
NIC,1,1,1,1
NLD,0,1,1,0
NOR,0,1,1,0
PAK,1,1,1,1
PHL,1,1,1,1
QAT,1,1,1,1
RUS,1,1,1,1
SAU,1,1,1,1
SEN,1,1,1,1
SVK,0,1,1,0
SVN,0,1,1,0
UKR,0,1,1,0
URY,0,1,1,1
USA,3,0,0,0
ZAF,1,1,1,1
ZMB,1,1,1,1
