Country,Country Long,party
ALB,Albania,GLOBAL_NORTH
ARE,United Arab Emirates,GLOBAL_SOUTH
ARG,Argentina,GLOBAL_SOUTH
BGD,Bangladesh,GLOBAL_SOUTH
BOL,"Bolivia, Plurinational State of",GLOBAL_SOUTH
BRA,Brazil,GLOBAL_SOUTH
BWA,Botswana,GLOBAL_SOUTH
CHN,China,GLOBAL_SOUTH
CIV,Côte d'Ivoire,GLOBAL_SOUTH
COG,Congo,GLOBAL_SOUTH
CUB,Cuba,GLOBAL_SOUTH
DEU,Germany,GLOBAL_NORTH
DZA,Algeria,GLOBAL_SOUTH
EST,Estonia,GLOBAL_NORTH
ETH,Ethiopia,GLOBAL_SOUTH
FRA,France,GLOBAL_NORTH
GAB,Gabon,GLOBAL_SOUTH
GBR,United Kingdom of Great Britain and Northern Ireland,GLOBAL_NORTH
GHA,Ghana,GLOBAL_SOUTH
IDN,Indonesia,GLOBAL_SOUTH
IND,India,GLOBAL_SOUTH
IRL,Ireland,GLOBAL_NORTH
JPN,Japan,GLOBAL_NORTH
KAZ,Kazakhstan,GLOBAL_NORTH
KEN,Kenya,GLOBAL_SOUTH
KOR,"Korea, Republic of",GLOBAL_NORTH
LVA,Latvia,GLOBAL_NORTH
MAR,Morocco,GLOBAL_SOUTH
MDV,Maldives,GLOBAL_SOUTH
MEX,Mexico,GLOBAL_NORTH
MKD,North Macedonia,GLOBAL_NORTH
MNE,Montenegro,GLOBAL_NORTH
NAM,Namibia,GLOBAL_SOUTH
NGA,Nigeria,GLOBAL_SOUTH
NLD,Netherlands,GLOBAL_NORTH
PAK,Pakistan,GLOBAL_SOUTH
PRT,Portugal,GLOBAL_NORTH
PRY,Paraguay,GLOBAL_SOUTH
QAT,Qatar,GLOBAL_SOUTH
RUS,Russian Federation,GLOBAL_NORTH
SAU,Saudi Arabia,GLOBAL_SOUTH
SLE,Sierra Leone,GLOBAL_SOUTH
SLV,El Salvador,GLOBAL_SOUTH
USA,United States of America,GLOBAL_NORTH
VEN,"Venezuela, Bolivarian Republic of",GLOBAL_SOUTH
VNM,Viet Nam,GLOBAL_SOUTH
ZAF,South Africa,GLOBAL_SOUTH
