Country,A/HRC/RES/37/34,A/HRC/RES/37/35,A/HRC/RES/37/36,A/HRC/RES/37/37,A/HRC/RES/S-28/1
AFG,1,1,1,1,1
AGO,1,1,1,1,1
ARE,1,1,1,1,1
AUS,0,0,0,0,0
BDI,1,1,1,1,1
BEL,1,1,1,1,1
BRA,1,1,1,1,1
CHE,1,1,1,1,0
CHL,1,1,1,1,1
CHN,1,1,1,1,1
CIV,1,1,1,1,1
COD,0,0,0,0,1
CUB,1,1,1,1,1
DEU,1,1,1,0,0
ECU,1,1,1,1,1
EGY,1,1,1,1,1
ESP,1,1,1,0,1
ETH,1,1,1,0,0
GBR,1,1,0,0,0
GEO,1,1,0,0,0
HRV,1,1,0,0,0
HUN,1,1,0,0,0
IRQ,1,1,1,1,1
JPN,1,1,1,0,0
KEN,1,1,1,0,0
KGZ,1,1,1,1,1
KOR,1,1,1,0,0
MEX,1,1,1,0,1
MNG,3,3,3,3,3
NGA,1,1,1,1,1
NPL,1,1,1,1,1
PAK,1,1,1,1,1
PAN,1,1,0,0,0
PER,1,1,1,1,1
PHL,1,1,1,1,1
QAT,1,1,1,1,1
RWA,1,0,0,0,0
SAU,1,1,1,1,1
SEN,1,1,1,1,1
SVK,1,1,0,0,0
SVN,1,1,1,1,1
TGO,1,0,0,0,0
TUN,1,1,1,1,1
UKR,1,1,0,0,3
USA,0,0,0,0,0
VEN,1,1,1,1,1
ZAF,1,1,1,1,1
