Country,A/HRC/RES/40/13,A/HRC/RES/40/22,A/HRC/RES/40/23,A/HRC/RES/40/24
AFG,1,1,1,1
AGO,1,1,1,1
ARG,0,1,1,1
AUS,0,0,0,0
AUT,0,1,1,0
BFA,1,1,1,1
BGD,1,1,1,1
BGR,0,1,1,0
BHR,1,1,1,1
BHS,0,1,1,1
BRA,0,1,1,0
CHL,1,1,1,1
CHN,1,1,1,1
CMR,3,0,0,0
COD,0,0,0,0
CUB,1,1,1,1
CZE,0,1,1,0
DNK,0,0,0,0
EGY,1,1,1,1
ERI,1,1,1,1
ESP,1,1,1,1
FJI,0,1,1,1
GBR,0,0,0,0
HRV,0,1,1,0
HUN,0,1,0,0
IND,0,1,1,1
IRQ,1,1,1,1
ISL,0,1,1,1
ITA,0,1,1,1
JPN,0,1,1,1
MEX,1,1,1,1
NGA,1,1,1,1
NPL,0,1,1,1
PAK,1,1,1,1
PER,1,1,1,1
PHL,1,1,1,1
QAT,1,1,1,1
RWA,0,1,0,0
SAU,1,3,1,1
SEN,1,1,1,1
SOM,1,1,1,1
SVK,0,1,1,0
TGO,0,1,0,0
TUN,1,1,1,1
UKR,0,1,1,0
URY,0,1,1,1
ZAF,1,1,1,1
