Country,A/HRC/RES/46/3,A/HRC/RES/46/25,A/HRC/RES/46/26,A/HRC/RES/S-30/1
ARG,1,1,1,1
ARM,1,1,1,1
AUT,0,1,0,0
BFA,1,1,1,1
BGD,1,1,1,1
BGR,0,1,0,0
BHR,3,1,1,1
BHS,0,1,0,0
BOL,1,1,1,1
BRA,0,1,0,0
CHN,1,1,1,1
CIV,1,1,1,1
CMR,0,0,0,0
CUB,1,1,1,1
CZE,0,0,0,0
DEU,1,1,1,0
DNK,1,1,1,0
ERI,1,1,1,1
FJI,1,1,1,0
FRA,1,1,1,0
GAB,1,1,1,1
GBR,0,0,0,0
IDN,1,1,1,1
IND,0,1,1,0
ITA,1,1,1,0
JPN,1,1,1,0
KOR,1,1,1,0
LBY,1,1,1,1
MEX,1,1,1,1
MHL,0,0,0,0
MRT,1,1,1,1
MWI,0,0,0,0
NAM,1,1,1,1
NLD,1,1,1,0
NPL,0,1,1,0
PAK,1,1,1,1
PHL,0,1,1,1
POL,1,1,1,0
RUS,1,1,1,1
SDN,1,1,1,1
SEN,1,1,1,1
SOM,1,1,1,1
TGO,0,1,0,0
UKR,0,1,0,0
URY,1,1,1,0
UZB,1,1,1,1
VEN,1,1,1,1
