Country,A/HRC/RES/49/4,A/HRC/RES/49/28,A/HRC/RES/49/29
ARE,1,1,1
ARG,1,1,1
ARM,1,1,1
BEN,1,1,1
BOL,1,1,1
BRA,0,1,0
CHN,1,1,1
CIV,1,1,1
CMR,0,0,0
CUB,1,1,1
DEU,1,1,1
ERI,1,1,1
FIN,1,1,1
FRA,1,1,1
GAB,1,1,1
GBR,0,0,0
GMB,1,1,1
HND,0,0,0
IDN,1,1,1
IND,0,1,1
JPN,1,1,1
KAZ,1,1,1
KOR,1,1,1
LBY,1,1,1
LTU,1,0,0
LUX,1,1,1
MEX,1,1,1
MHL,0,0,0
MNE,1,1,1
MRT,1,1,1
MWI,0,1,0
MYS,1,1,1
NAM,1,1,1
NLD,1,1,1
NPL,0,1,1
PAK,1,1,1
POL,1,1,1
PRY,1,1,1
QAT,1,1,1
RUS,1,1,1
SDN,1,1,1
SEN,1,1,1
SOM,1,1,1
UKR,0,1,0
USA,0,0,0
UZB,1,1,1
VEN,1,1,1
