Country,Country Long,party
ARG,Argentina,GLOBAL_SOUTH
AZE,Azerbaijan,GLOBAL_NORTH
BGD,Bangladesh,GLOBAL_SOUTH
BHR,Bahrain,GLOBAL_SOUTH
BRA,Brazil,GLOBAL_SOUTH
CAN,Canada,GLOBAL_NORTH
CHE,Switzerland,GLOBAL_NORTH
CHN,China,GLOBAL_SOUTH
CMR,Cameroon,GLOBAL_SOUTH
CUB,Cuba,GLOBAL_SOUTH
CZE,Czechia,GLOBAL_NORTH
DEU,Germany,GLOBAL_NORTH
DJI,Djibouti,GLOBAL_SOUTH
DZA,Algeria,GLOBAL_SOUTH
ECU,Ecuador,GLOBAL_SOUTH
FIN,Finland,GLOBAL_NORTH
FRA,France,GLOBAL_NORTH
GAB,Gabon,GLOBAL_SOUTH
GBR,United Kingdom of Great Britain and Northern Ireland,GLOBAL_NORTH
GHA,Ghana,GLOBAL_SOUTH
GTM,Guatemala,GLOBAL_SOUTH
IDN,Indonesia,GLOBAL_SOUTH
IND,India,GLOBAL_SOUTH
JOR,Jordan,GLOBAL_SOUTH
JPN,Japan,GLOBAL_NORTH
KOR,"Korea, Republic of",GLOBAL_NORTH
LKA,Sri Lanka,GLOBAL_SOUTH
MAR,Morocco,GLOBAL_SOUTH
MEX,Mexico,GLOBAL_NORTH
MLI,Mali,GLOBAL_SOUTH
MUS,Mauritius,GLOBAL_SOUTH
MYS,Malaysia,GLOBAL_SOUTH
NGA,Nigeria,GLOBAL_SOUTH
NLD,Netherlands,GLOBAL_NORTH
PAK,Pakistan,GLOBAL_SOUTH
PER,Peru,GLOBAL_SOUTH
PHL,Philippines,GLOBAL_SOUTH
POL,Poland,GLOBAL_NORTH
ROU,Romania,GLOBAL_NORTH
RUS,Russian Federation,GLOBAL_NORTH
SAU,Saudi Arabia,GLOBAL_SOUTH
SEN,Senegal,GLOBAL_SOUTH
TUN,Tunisia,GLOBAL_SOUTH
UKR,Ukraine,GLOBAL_NORTH
URY,Uruguay,GLOBAL_SOUTH
ZAF,South Africa,GLOBAL_SOUTH
ZMB,Zambia,GLOBAL_SOUTH
