Country,A/HRC/RES/16/17,A/HRC/RES/16/31,A/HRC/RES/S-16/1
AGO,1,1,3
ARG,1,1,1
BEL,0,1,1
BFA,1,1,1
BGD,1,1,0
BHR,1,1,3
BRA,1,1,1
CHE,0,4,1
CHL,1,1,1
CHN,1,1,0
CMR,0,1,0
CUB,1,1,0
DJI,1,1,0
ECU,1,1,0
ESP,0,1,1
FRA,0,1,1
GAB,0,1,0
GBR,0,1,1
GHA,1,1,1
GTM,0,1,1
HUN,0,1,1
JOR,1,1,3
JPN,0,1,1
KGZ,1,1,1
KOR,0,1,1
LBY,3,3,3
MDA,0,1,1
MDV,1,1,1
MEX,1,1,1
MRT,1,1,0
MUS,1,1,1
MYS,1,1,0
NGA,1,1,0
NOR,0,1,1
PAK,1,1,0
POL,0,1,1
QAT,1,1,3
RUS,1,1,0
SAU,1,1,0
SEN,1,1,1
SVK,0,4,1
SVN,4,1,4
SWZ,4,1,4
THA,1,1,0
UGA,1,1,0
UKR,0,1,0
URY,1,1,1
USA,0,0,1
ZMB,1,1,1
