Country,A/HRC/RES/22/17,A/HRC/RES/22/24,A/HRC/RES/22/26,A/HRC/RES/23/1,A/HRC/RES/23/26,A/HRC/RES/24/22
AGO,1,1,1,0,0,1
ARE,1,1,1,1,1,1
ARG,1,1,1,1,1,1
AUT,0,1,1,1,1,1
BEN,1,1,1,1,1,1
BFA,1,1,1,1,1,1
BRA,1,1,1,1,1,1
BWA,1,1,1,1,1,1
CHE,0,1,1,1,1,1
CHL,1,1,1,1,1,1
CIV,0,1,0,1,1,1
COG,1,1,1,0,1,1
CRI,1,1,1,1,1,1
CZE,0,1,1,1,1,1
DEU,0,1,1,1,1,1
ECU,1,0,1,0,0,0
ESP,0,1,1,1,1,1
EST,0,1,1,1,1,1
ETH,1,1,1,0,0,0
GAB,0,1,1,1,0,1
GTM,1,1,1,1,1,1
IDN,1,1,1,0,1,1
IND,1,0,1,0,0,0
IRL,0,1,1,1,1,1
ITA,0,1,1,1,1,1
JPN,0,1,1,1,1,1
KAZ,1,0,1,3,0,0
KEN,0,1,0,3,1,0
KOR,0,1,1,1,1,1
KWT,1,1,1,1,1,1
LBY,1,1,1,1,1,1
MDA,0,1,1,1,1,1
MDV,1,1,1,1,1,1
MNE,0,1,1,1,1,1
MRT,1,1,1,1,1,1
MYS,1,1,1,1,1,1
PAK,1,1,1,1,0,1
PER,1,1,1,1,1,1
PHL,1,0,1,0,0,0
POL,0,1,1,1,1,1
QAT,1,1,1,1,1,1
ROU,0,1,1,1,1,1
SLE,1,1,1,1,1,1
THA,1,1,1,1,1,1
UGA,1,0,1,0,0,1
USA,0,1,0,1,1,1
VEN,1,0,1,0,0,0
