Country,A/HRC/28/L.36,A/HRC/RES/28/20,A/HRC/RES/28/24,A/HRC/RES/28/26,A/HRC/RES/29/16,A/HRC/30/L.33,A/HRC/RES/30/10
ALB,0,1,0,1,1,0,1
ARE,0,1,1,1,1,0,1
ARG,0,1,1,1,1,0,1
BGD,0,0,1,1,0,0,0
BOL,1,0,1,1,0,1,0
BRA,1,0,1,1,1,1,1
BWA,0,1,0,1,1,0,1
CHN,1,0,1,1,0,1,0
CIV,0,1,1,1,1,0,1
COG,0,0,1,1,0,0,0
CUB,1,0,1,1,0,1,0
DEU,0,1,0,1,1,0,1
DZA,1,0,1,1,0,1,0
EST,0,1,0,1,1,0,1
ETH,0,0,1,1,0,0,0
FRA,0,1,0,1,1,0,1
GAB,0,1,1,1,1,0,1
GBR,0,1,0,1,1,0,1
GHA,0,1,0,1,1,0,1
IDN,1,1,1,1,0,1,0
IND,0,0,1,1,0,0,0
IRL,0,1,0,1,1,0,1
JPN,0,1,0,1,1,0,1
KAZ,1,0,1,1,0,1,0
KEN,0,0,1,1,0,0,0
KOR,0,1,0,1,1,0,1
LVA,0,1,0,1,1,0,1
MAR,0,1,1,1,1,0,1
MDV,3,1,1,1,1,1,1
MEX,0,1,1,1,1,0,1
MKD,0,1,0,1,1,0,1
MNE,0,1,0,1,1,0,1
NAM,0,0,1,1,0,0,0
NGA,0,0,1,1,0,0,0
NLD,0,1,0,1,1,0,1
PAK,1,0,1,1,0,0,0
PRT,0,1,0,1,1,0,1
PRY,0,1,0,0,1,0,1
QAT,0,1,1,1,1,0,1
RUS,1,0,1,1,0,1,0
SAU,0,1,1,1,1,0,1
SLE,0,1,0,1,1,0,1
SLV,0,1,1,1,1,0,1
USA,0,1,0,0,1,0,1
VEN,1,0,1,1,0,1,0
VNM,0,0,1,1,0,0,0
ZAF,0,0,1,1,0,0,0
