Country,A/HRC/RES/31/17,A/HRC/RES/31/36,A/HRC/RES/32/25,A/HRC/RES/33/23,A/HRC/RES/S-25/1
ALB,1,0,1,1,1
ARE,1,1,1,1,1
BDI,0,1,0,0,0
BEL,1,0,1,1,1
BGD,0,1,0,0,0
BOL,0,1,0,0,0
BWA,1,1,1,1,1
CHE,1,1,1,1,1
CHN,0,1,0,0,0
CIV,1,1,1,1,1
COG,0,1,0,0,0
CUB,0,1,0,0,0
DEU,1,0,1,1,1
DZA,0,1,0,0,0
ECU,0,1,0,0,0
ETH,0,1,0,0,0
FRA,1,0,1,1,1
GBR,1,0,1,1,1
GEO,1,0,1,1,1
GHA,1,0,1,1,0
IDN,0,1,0,0,0
IND,0,1,0,0,0
KEN,0,1,0,0,0
KGZ,0,1,0,0,0
KOR,1,0,1,1,1
LVA,1,0,1,1,1
MAR,1,1,1,1,1
MDV,1,1,1,1,1
MEX,1,1,1,1,1
MKD,1,0,1,1,1
MNG,1,1,1,1,1
NAM,0,1,0,0,0
NGA,0,1,0,0,0
NLD,1,0,1,1,1
PAN,1,1,1,1,0
PHL,0,1,0,0,0
PRT,1,0,1,1,1
PRY,1,0,1,1,0
QAT,1,1,1,1,1
RUS,0,1,0,0,0
SAU,1,1,1,1,1
SLV,1,1,1,1,1
SVN,1,0,1,1,1
TGO,1,0,1,0,1
VEN,0,1,0,0,0
VNM,0,1,0,0,0
ZAF,0,1,0,0,1
