Resolution,Date,Summary
A/HRC/RES/37/1,2018/03/05,"The deteriorating situation of human rights in Eastern Ghouta, in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 37th session"
A/HRC/37/L.2,2018/03/05,"The deteriorating situation of human rights in Eastern Ghouta, in the Syrian Arab Republic :amendment /Human Rights Council at its 37th session"
A/HRC/37/L.3,2018/03/05,"The deteriorating situation of human rights in Eastern Ghouta, in the Syrian Arab Republic :amendment /Human Rights Council at its 37th session"
A/HRC/37/L.4,2018/03/05,"The deteriorating situation of human rights in Eastern Ghouta, in the Syrian Arab Republic :amendment /Human Rights Council at its 37th session"
A/HRC/37/L.5,2018/03/05,"The deteriorating situation of human rights in Eastern Ghouta, in the Syrian Arab Republic :amendment /Human Rights Council at its 37th session"
A/HRC/RES/37/29,2018/03/23,The human rights situation in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 37th session
A/HRC/RES/37/36,2018/03/23,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 37th session"
A/HRC/37/L.60,2018/03/23,The human rights situation in the Syrian Arab Republic :amendment /Human Rights Council at its 37th session
A/HRC/RES/38/16,2018/07/06,The human rights situation in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 38th session
A/HRC/38/L.28,2018/07/06,The human rights situation in the Syrian Arab Republic :amendment /Human Rights Council at its 38th session
A/HRC/38/L.29,2018/07/06,The human rights situation in the Syrian Arab Republic :amendment /Human Rights Council at its 38th session
A/HRC/38/L.30,2018/07/06,The human rights situation in the Syrian Arab Republic :amendment /Human Rights Council at its 38th session
A/HRC/38/L.31,2018/07/06,The human rights situation in the Syrian Arab Republic :amendment /Human Rights Council at its 38th session
A/HRC/RES/39/15,2018/09/28,The human rights situation in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 39th session
A/HRC/39/L.26,2018/09/28,The human rights situation in the Syrian Arab Republic :amendment /Human Rights Council at its 39th session
A/HRC/39/L.27,2018/09/28,The human rights situation in the Syrian Arab Republic :amendment /Human Rights Council at its 39th session
A/HRC/39/L.28,2018/09/28,The human rights situation in the Syrian Arab Republic :amendment /Human Rights Council at its 39th session
A/HRC/39/L.29,2018/09/28,The human rights situation in the Syrian Arab Republic :amendment /Human Rights Council at its 39th session
