Country,A/HRC/RES/43/28,A/HRC/RES/43/30,A/HRC/RES/43/31,A/HRC/RES/44/21,A/HRC/RES/45/21
AFG,0,1,1,1,0
AGO,0,1,1,0,0
ARG,1,1,1,1,1
ARM,0,1,1,0,0
AUS,1,0,0,1,1
AUT,1,0,0,1,1
BFA,0,1,1,0,0
BGD,0,1,1,0,0
BGR,1,0,0,1,1
BHR,0,1,1,0,0
BHS,1,1,1,1,1
BRA,1,0,0,1,1
CHL,1,1,1,1,1
CMR,0,0,0,0,0
COD,0,0,0,0,0
CZE,1,0,0,1,1
DEU,1,0,1,1,1
DNK,1,0,1,1,1
ERI,0,1,1,0,0
ESP,1,0,1,1,1
FJI,1,0,1,1,1
IDN,0,1,1,0,0
IND,0,1,1,0,0
ITA,1,0,1,1,1
JPN,1,0,1,1,1
KOR,1,0,1,1,1
LBY,1,1,1,1,1
MEX,1,1,1,1,1
MHL,1,0,0,1,1
MRT,0,1,1,0,0
NAM,0,1,1,0,0
NGA,0,1,1,0,0
NLD,1,0,1,1,1
NPL,0,1,1,0,0
PAK,0,1,1,0,0
PER,1,1,1,1,1
PHL,0,0,1,0,0
POL,1,0,1,1,1
QAT,1,1,1,1,1
SDN,0,1,1,0,0
SEN,0,1,1,0,0
SOM,1,1,1,1,1
SVK,1,0,0,1,1
TGO,1,0,0,1,1
UKR,1,0,0,1,1
URY,1,1,1,1,1
VEN,0,1,1,0,0
