Country,A/HRC/RES/52/30,A/HRC/RES/52/33,A/HRC/RES/52/35,A/HRC/RES/53/18
ARE,0,1,1,0
ARG,1,1,1,1
BEL,1,0,1,1
BEN,1,1,1,1
BGD,0,1,1,0
BOL,0,1,1,0
CHL,1,1,1,1
CHN,0,1,1,0
CIV,1,1,1,1
CMR,0,0,0,0
CRI,1,1,1,1
CUB,0,1,1,0
CZE,1,0,0,1
DEU,1,0,1,1
DZA,0,1,1,0
ERI,0,1,1,0
FIN,1,0,1,1
FRA,1,0,1,1
GAB,1,1,1,1
GBR,1,0,0,1
GEO,1,0,0,1
GMB,1,1,1,0
HND,1,0,1,1
IND,0,1,1,0
KAZ,0,1,1,0
KGZ,0,1,1,0
LTU,1,0,0,1
LUX,1,0,1,1
MAR,1,1,1,0
MDV,0,1,1,3
MEX,1,1,1,1
MNE,1,0,1,1
MWI,1,0,0,1
MYS,0,1,1,0
NPL,0,1,1,0
PAK,0,1,1,0
PRY,1,1,1,1
QAT,1,1,1,1
ROU,1,0,0,1
SDN,0,1,1,0
SEN,0,1,1,0
SOM,0,1,1,0
UKR,1,0,0,1
USA,1,0,0,1
UZB,0,1,1,0
VNM,0,1,1,0
ZAF,0,1,1,0
