Country,A/HRC/RES/2/3,A/HRC/RES/2/4,A/HRC/RES/7/18,A/HRC/RES/7/30,A/HRC/RES/10/17,A/HRC/RES/10/18,A/HRC/RES/13/5,A/HRC/RES/13/7,A/HRC/RES/16/17,A/HRC/RES/16/31,A/HRC/RES/S-16/1,A/HRC/RES/S-17/1,A/HRC/RES/S-18/1,A/HRC/RES/19/1,A/HRC/RES/19/14,A/HRC/RES/19/17,A/HRC/RES/19/22,A/HRC/RES/S-19/1,A/HRC/RES/20/22,A/HRC/RES/21/26,A/HRC/RES/22/17,A/HRC/RES/22/24,A/HRC/RES/22/26,A/HRC/RES/23/1,A/HRC/RES/23/26,A/HRC/RES/24/22,A/HRC/RES/26/23,A/HRC/RES/27/16,A/HRC/28/L.36,A/HRC/RES/28/20,A/HRC/RES/28/24,A/HRC/RES/28/26,A/HRC/RES/29/16,A/HRC/30/L.33,A/HRC/RES/30/10,A/HRC/RES/31/17,A/HRC/RES/31/36,A/HRC/RES/32/25,A/HRC/RES/33/23,A/HRC/RES/S-25/1,A/HRC/RES/34/26,A/HRC/RES/34/27,A/HRC/RES/35/26,A/HRC/RES/36/20,A/HRC/RES/37/1,A/HRC/37/L.2,A/HRC/37/L.3,A/HRC/37/L.4,A/HRC/37/L.5,A/HRC/RES/37/29,A/HRC/RES/37/36,A/HRC/37/L.60,A/HRC/RES/38/16,A/HRC/38/L.28,A/HRC/38/L.29,A/HRC/38/L.30,A/HRC/38/L.31,A/HRC/RES/39/15,A/HRC/39/L.26,A/HRC/39/L.27,A/HRC/39/L.28,A/HRC/39/L.29,A/HRC/RES/40/17,A/HRC/RES/40/21,A/HRC/RES/40/24,A/HRC/RES/41/23,A/HRC/RES/42/27,A/HRC/RES/43/28,A/HRC/RES/43/30,A/HRC/RES/43/31,A/HRC/RES/44/21,A/HRC/RES/45/21,A/HRC/RES/46/22,A/HRC/RES/46/24,A/HRC/RES/46/26,A/HRC/RES/47/18,A/HRC/RES/48/15,A/HRC/RES/49/27,A/HRC/RES/49/29,A/HRC/RES/49/30,A/HRC/RES/50/19,A/HRC/RES/51/26,A/HRC/RES/52/30,A/HRC/RES/52/33,A/HRC/RES/52/35,A/HRC/RES/53/18,A/HRC/RES/55/22,A/HRC/RES/55/31,A/HRC/RES/55/32,A/HRC/RES/57/21
AFG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
AGO,4,4,1,1,1,1,1,1,1,1,3,0,0,3,1,1,1,1,1,1,1,1,1,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ALB,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,1
ARE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,0,0,0,1,1,0,0,1,1,0
ARG,1,1,4,4,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ARM,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,4,4,4,4,4,4,4,4
AUS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
AUT,4,4,4,4,4,4,4,4,4,4,4,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
AZE,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
BDI,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,0
