Country,Country Long,party
AGO,Angola,GLOBAL_SOUTH
ARG,Argentina,GLOBAL_SOUTH
AZE,Azerbaijan,GLOBAL_NORTH
BFA,Burkina Faso,GLOBAL_SOUTH
BGD,Bangladesh,GLOBAL_SOUTH
BHR,Bahrain,GLOBAL_SOUTH
BIH,Bosnia and Herzegovina,GLOBAL_SOUTH
BOL,"Bolivia, Plurinational State of",GLOBAL_SOUTH
BRA,Brazil,GLOBAL_SOUTH
CAN,Canada,GLOBAL_NORTH
CHE,Switzerland,GLOBAL_NORTH
CHL,Chile,GLOBAL_SOUTH
CHN,China,GLOBAL_SOUTH
CMR,Cameroon,GLOBAL_SOUTH
CUB,Cuba,GLOBAL_SOUTH
DEU,Germany,GLOBAL_NORTH
DJI,Djibouti,GLOBAL_SOUTH
EGY,Egypt,GLOBAL_SOUTH
FRA,France,GLOBAL_NORTH
GAB,Gabon,GLOBAL_SOUTH
GBR,United Kingdom of Great Britain and Northern Ireland,GLOBAL_NORTH
GHA,Ghana,GLOBAL_SOUTH
IDN,Indonesia,GLOBAL_SOUTH
IND,India,GLOBAL_SOUTH
ITA,Italy,GLOBAL_NORTH
JOR,Jordan,GLOBAL_SOUTH
JPN,Japan,GLOBAL_NORTH
KOR,"Korea, Republic of",GLOBAL_NORTH
MDG,Madagascar,GLOBAL_SOUTH
MEX,Mexico,GLOBAL_NORTH
MUS,Mauritius,GLOBAL_SOUTH
MYS,Malaysia,GLOBAL_SOUTH
NGA,Nigeria,GLOBAL_SOUTH
NIC,Nicaragua,GLOBAL_SOUTH
NLD,Netherlands,GLOBAL_NORTH
PAK,Pakistan,GLOBAL_SOUTH
PHL,Philippines,GLOBAL_SOUTH
QAT,Qatar,GLOBAL_SOUTH
RUS,Russian Federation,GLOBAL_NORTH
SAU,Saudi Arabia,GLOBAL_SOUTH
SEN,Senegal,GLOBAL_SOUTH
SVK,Slovakia,GLOBAL_NORTH
SVN,Slovenia,GLOBAL_NORTH
UKR,Ukraine,GLOBAL_NORTH
URY,Uruguay,GLOBAL_SOUTH
ZAF,South Africa,GLOBAL_SOUTH
ZMB,Zambia,GLOBAL_SOUTH
