Country,A/HRC/RES/22/1,A/HRC/RES/22/2,A/HRC/RES/22/12,A/HRC/RES/22/17,A/HRC/DEC22/117,A/HRC/RES/22/23,A/HRC/RES/22/24,A/HRC/RES/22/25,A/HRC/RES/22/26,A/HRC/RES/22/27,A/HRC/RES/22/28,A/HRC/RES/22/29,A/HRC/RES/22/30,A/HRC/RES/22/33,A/HRC/RES/22/34,A/HRC/RES/23/1,A/HRC/RES/23/11,A/HRC/RES/23/12,A/HRC/RES/23/14,A/HRC/RES/23/15,A/HRC/RES/23/16,A/HRC/RES/23/26,A/HRC/24/L.40,A/HRC/24/L.41,A/HRC/24/L.43,A/HRC/24/L.44,A/HRC/24/L.46,A/HRC/24/L.47,A/HRC/24/L.48,A/HRC/24/L.51,A/HRC/24/L.52,A/HRC/RES/24/4,A/HRC/RES/24/13,A/HRC/RES/24/14,A/HRC/RES/24/22,A/HRC/RES/24/24,A/HRC/RES/24/26,A/HRC/RES/24/35
AGO,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1
ARE,0,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
ARG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
AUT,1,0,2,2,1,1,1,1,1,1,1,1,2,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
BEN,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
BFA,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,0,0,1,1,1,1,1,1,1
BRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
BWA,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
CHE,1,0,2,2,1,1,1,1,1,1,1,1,2,2,1,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
CHL,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
CIV,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
COG,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1
CRI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
CZE,1,0,2,2,1,1,1,2,1,1,1,1,2,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
DEU,1,0,2,2,1,1,1,1,1,1,1,1,2,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
ECU,0,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,0,0,1,1,1,2,1,1,1
ESP,1,0,2,2,1,1,1,1,1,1,1,1,2,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
EST,1,0,2,2,1,1,1,1,1,1,1,1,2,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
ETH,2,1,1,1,0,2,1,2,1,1,1,3,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
GAB,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,2,2,2,2,2,2,2,1,1,1,1,0,1,1
GTM,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
IDN,0,1,1,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1
IND,1,1,1,1,0,2,2,1,1,1,1,1,1,1,1,2,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
IRL,1,0,2,2,1,1,1,1,1,1,1,1,2,0,1,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
ITA,1,0,2,2,1,1,1,1,1,1,1,1,2,0,1,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
JPN,2,0,0,2,2,1,1,1,1,1,1,1,1,2,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
KAZ,2,1,1,1,1,3,2,1,1,1,1,1,1,2,1,3,1,1,2,0,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1
KEN,2,1,1,2,0,2,1,2,2,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1
KOR,1,0,2,2,2,1,1,1,1,1,1,1,1,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
KWT,0,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
LBY,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MDA,1,0,2,2,1,1,1,1,1,1,1,1,2,2,1,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
MDV,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
MNE,1,0,2,2,1,1,1,1,1,1,1,1,2,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
MRT,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
MYS,2,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
PAK,0,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
PER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
PHL,0,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1
POL,1,0,2,2,1,1,1,1,1,1,1,1,2,0,1,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
QAT,0,1,1,1,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
