Resolution,Date,Summary
A/HRC/RES/55/1,2024/04/03,Advancing human rights in South Sudan :resolution /adopted by the Human Rights Council at its 55th session
A/HRC/RES/55/6,2024/04/03,"Effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights :resolution /adopted by the Human Rights Council at its 55th session"
A/HRC/RES/55/7,2024/04/03,The negative impact of unilateral coercive measures on the enjoyment of human rights :resolution /adopted by the Human Rights Council at its 55th session
A/HRC/RES/55/14,2024/04/04,"Combating discrimination, violence and harmful practices against intersex persons :resolution /adopted by the Human Rights Council at its 55th session"
A/HRC/RES/55/19,2024/04/04,Situation of human rights in the Islamic Republic of Iran :resolution /adopted by the Human Rights Council at its 55th session
A/HRC/RES/55/22,2024/04/04,Situation of human rights in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 55th session
A/HRC/RES/55/23,2024/04/04,Situation of human rights in Ukraine stemming from the Russian aggression :resolution /adopted by the Human Rights Council at its 55th session
A/HRC/RES/55/27,2024/04/04,Situation of human rights in Belarus :resolution /adopted by the Human Rights Council at its 55th session
A/HRC/RES/55/28,2024/04/05,"Human rights situation in the Occupied Palestinian Territory, including East Jerusalem, and the obligation to ensure accountability and justice :resolution /adopted by the Human Rights Council at its 55th session"
A/HRC/RES/55/30,2024/04/05,Right of the Palestinian people to self-determination :resolution /adopted by the Human Rights Council at its 55th session
A/HRC/RES/55/31,2024/04/05,Human rights in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 55th session
A/HRC/RES/55/32,2024/04/05,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 55th session"
A/HRC/55/L.37,2024/04/05,Rights of the child: realizing the rights of the child and inclusive social protection :amendment /Human Rights Council at its 55th session
A/HRC/55/L.39,2024/04/05,Rights of the child: realizing the rights of the child and inclusive social protection :amendment /Human Rights Council at its 55th session
A/HRC/55/L.42,2024/04/05,Rights of the child: realizing the rights of the child and inclusive social protection :amendment /Human Rights Council at its 55th session
A/HRC/55/L.41,2024/04/05,Rights of the child: realizing the rights of the child and inclusive social protection :amendment /Human Rights Council at its 55th session
A/HRC/RES/56/2,2024/07/10,Enhancement of international cooperation in the field of human rights :resolution /adopted by the Human Rights Council at its 56th session
A/HRC/RES/56/4,2024/07/10,Human rights and international solidarity :resolution /adopted by the Human Rights Council at its 56th session
A/HRC/56/L.39,2024/07/10,"Open-ended Intergovernmental Working Group on an optional protocol to the Convention on the Rights of the Child on the rights to early childhood education, free pre-primary education, and free secondary edu :amendment /Human Rights Council at its 56th session"
A/HRC/56/L.40,2024/07/10,"Open-ended Intergovernmental Working Group on an optional protocol to the Convention on the Rights of the Child on the rights to early childhood education, free pre-primary education, and free secondary edu :amendment /Human Rights Council at its 56th session"
A/HRC/RES/56/18,2024/07/11,Promoting and protecting the enjoyment of human rights by seafarers :resolution /adopted by the Human Rights Council at its 56th session
A/HRC/RES/56/17,2024/07/11,Situation of human rights in Eritrea :resolution /adopted by the Human Rights Council at its 56th session
A/HRC/RES/56/L.35,2024/07/11,Technology-facilitated gender-based violence :amendment /Human Rights Council at its 56th session
A/HRC/RES/56/L.36,2024/07/11,Technology-facilitated gender-based violence :amendment /Human Rights Council at its 56th session
