Country,A/HRC/RES/55/1,A/HRC/RES/55/6,A/HRC/RES/55/7,A/HRC/RES/55/14,A/HRC/RES/55/19,A/HRC/RES/55/22,A/HRC/RES/55/23,A/HRC/RES/55/27,A/HRC/RES/55/28,A/HRC/RES/55/30,A/HRC/RES/55/31,A/HRC/RES/55/32,A/HRC/55/L.37,A/HRC/55/L.39,A/HRC/55/L.42,A/HRC/55/L.41,A/HRC/RES/56/2,A/HRC/RES/56/4,A/HRC/56/L.39,A/HRC/56/L.40,A/HRC/RES/56/18,A/HRC/RES/56/17,A/HRC/RES/56/L.35,A/HRC/RES/56/L.36,A/HRC/56/L.41,A/HRC/56/L.42,A/HRC/56/L.44,A/HRC/56/L.45,A/HRC/RES/56/20,A/HRC/RES/56/21,A/HRC/56/L.29,A/HRC/RES/56/L.31,A/HRC/RES/56/L.32,A/HRC/RES/56/L.33,A/HRC/RES/56/L.34,A/HRC/RES/56/L.30,A/HRC/56/L.46,A/HRC/56/L.47,A/HRC/56/L.48,A/HRC/56/L.49,A/HRC/56/L.51,A/HRC/RES/57/2,A/HRC/RES/57/7,A/HRC/RES/57/8,A/HRC/RES/57/19,A/HRC/RES/57/20,A/HRC/RES/57/21,A/HRC/RES/57/22,A/HRC/RES/57/25,A/HRC/RES/57/33,A/HRC/RES/57/36,A/HRC/57/L.39,A/HRC/57/L.40,A/HRC/57/L.41,A/HRC/57/L.42,A/HRC/57/L.43
ALB,1,0,0,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
ARE,2,1,1,2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,4,2,1,1,2,2,2,2,4,4,1,1,1,1,2,1,1,1,1,1,2,0,1,1,1,2,2,2,1,2,2,2,2,2,2,2
ARG,1,2,2,1,1,1,1,1,0,2,2,2,0,0,0,0,2,2,0,0,4,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,1,2,1,1,0,0,0,0,0
BDI,0,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,4,0,0,0,2,2,2,2,4,4,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,2,2,2,1,2,2
BEL,1,2,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,0
BEN,2,1,1,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,0,4,2,2,0,2,2,2,0,4,4,2,2,2,1,2,0,2,2,2,2,0,2,1,1,1,2,1,0,1,2,2,2,2,2,2,2
BGD,2,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,4,2,1,1,2,1,1,2,4,4,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2
BGR,1,0,0,1,1,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,0
BRA,2,1,1,1,2,2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2
CHL,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,1,1,1,0,0,0,0,0
CHN,0,1,1,2,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,4,0,2,2,1,1,1,1,4,4,1,2,2,2,2,2,1,1,2,2,2,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1
CIV,0,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,2,0,2,2,2,2
CMR,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,2,2,4,2,1,1,2,2,2,2,4,4,1,2,2,0,2,1,1,2,1,2,0,2,1,1,1,2,2,0,1,2,2,2,2,2,2,2
CRI,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,1,2,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,1,1,1,0,0,0,0,0
CUB,0,1,1,1,0,0,2,0,1,1,1,1,3,3,3,3,1,1,3,3,4,0,3,1,1,1,1,3,4,4,3,3,3,3,3,3,3,3,3,3,3,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1
DEU,1,0,0,1,1,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
DOM,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,2,1,0,0,4,1,2,0,3,0,0,0,4,4,2,2,2,2,2,2,0,0,2,0,2,1,2,2,1,2,1,1,2,1,1,0,0,0,2,0
DZA,0,1,1,2,0,0,2,0,1,1,1,1,2,1,1,1,1,1,1,1,4,0,1,1,2,1,1,1,4,4,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,0,1,2,1,1,1
ERI,0,1,1,2,0,0,0,0,1,1,1,1,2,0,1,1,1,1,1,1,4,0,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1
FIN,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,0
FRA,1,0,0,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
GEO,1,0,0,2,2,1,1,2,2,1,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,0
GHA,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,4,2,2,1,2,2,2,0,4,4,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,2,1,1,2,0,2,0,2,2
GMB,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,0,0,4,2,1,1,0,3,0,3,4,4,2,2,1,0,2,1,1,2,1,0,0,2,1,1,1,1,1,2,1,1,1,2,2,2,2,2
HND,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,2,2,1,2,1,0,1
IDN,2,1,1,2,0,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,4,2,1,1,0,1,1,2,4,4,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,1,2,2,1,2,1,2,1
IND,2,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,2,4,0,2,0,0,2,1,0,4,4,1,0,2,1,0,0,1,2,2,0,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2
JPN,1,0,0,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,0
KAZ,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,3,3,4,2,0,0,3,3,3,3,4,4,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,0,2,1,1,2,2,2,2,2,2,2
KGZ,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,0,0,4,2,0,0,2,2,2,2,4,4,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,0,2,2,1,2,2,0,2,2,2,2
KWT,2,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,4,2,1,1,2,2,2,2,4,4,1,1,1,1,2,1,1,1,1,1,2,0,1,1,1,2,2,2,1,2,2,2,2,2,2,2
LTU,1,0,0,1,1,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,0
LUX,1,2,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,0
MAR,2,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,2,2,2,4,2,1,1,2,2,2,2,4,4,2,2,2,2,2,2,1,2,2,2,2,0,2,2,1,2,2,0,1,2,1,0,2,0,0,2
MDV,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,4,2,1,1,2,2,2,2,4,4,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2
MNE,1,0,0,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,0
MWI,2,1,1,2,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,4,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,2,1,1,1,0,0,2,0,0
MYS,2,1,1,2,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,4,2,1,1,2,1,1,2,4,4,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,1,2,1,2,2
NLD,1,0,0,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
PRY,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,2,2,0,0,0,0,4,4,0,0,0,0,0,0,1,2,2,2,2,1,2,2,2,1,1,1,2,1,1,0,0,0,0,0
QAT,2,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,4,2,1,1,2,2,2,2,4,4,1,1,1,1,2,1,1,1,1,1,2,0,1,1,1,2,1,2,1,2,2,2,2,2,2,2
ROU,1,0,0,1,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,0
SDN,0,1,1,2,0,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,4,0,1,1,2,2,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,0,1,2,0,1,1,1,1,1
SOM,0,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,4,0,1,1,2,2,2,2,4,4,1,1,1,1,2,1,1,1,1,1,2,0,1,1,1,2,2,0,1,2,1,1,0,0,0,0
USA,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
VNM,2,2,1,1,0,2,2,0,1,1,1,1,1,1,2,1,1,1,1,1,4,2,3,3,1,1,1,1,4,4,3,3,3,3,3,3,3,3,3,3,3,0,1,1,1,0,2,0,1,2,0,3,3,3,3,1
ZAF,2,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,1,1,2,2,4,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2
