"","coord1D","se1D"
"AUS",-1,0
"CAN",-1,0
"EST",-1,0
"GBR",-1,0
"LVA",-1,0
"MDA",-1,0
"MHL",-1,0
"MKD",-1,0
"USA",-1,0
"CZE",-0.999,0
"ROU",-0.973,0
"DNK",-0.952,0
"ALB",-0.946,0
"HUN",-0.945,0
"NLD",-0.935,0
"SVK",-0.924,0
"FRA",-0.92,0
"ITA",-0.909,0
"DEU",-0.9,0
"POL",-0.898,0
"AUT",-0.885,0
"UKR",-0.875,0
"KOR",-0.87,0
"SVN",-0.864,0
"JPN",-0.86,0
"BGR",-0.858,0
"BIH",-0.858,0
"ESP",-0.854,0
"MNE",-0.853,0
"FIN",-0.852,0
"CHE",-0.838,0
"LTU",-0.831,0
"GEO",-0.83,0
"NOR",-0.829,0
"HRV",-0.827,0
"BEL",-0.821,0
"PRT",-0.808,0
"ISL",-0.804,0
"IRL",-0.803,0
"LUX",-0.739,0
"PAN",-0.384,0
"GTM",-0.361,0
"CRI",-0.332,0
"MEX",-0.331,0
"PER",-0.305,0
"PRY",-0.285,0
"CHL",-0.274,0
"DOM",-0.274,0
"HND",-0.269,0
"BRA",-0.251,0
"FJI",-0.226,0
"URY",-0.225,0
"ARG",-0.224,0
"MNG",-0.166,0
"MUS",-0.122,0
"ARM",-0.086,0
"NPL",-0.085,0
"RWA",-0.085,0
"GHA",-0.083,0
"SLV",-0.07,0
"BEN",-0.055,0
"SLE",-0.042,0
"BHS",-0.026,0
"MWI",0.003,0
"TGO",0.05,0
"ZMB",0.079,0
"BWA",0.106,0
"TUN",0.119,0
"ZAF",0.121,0
"NAM",0.141,0
"GMB",0.169,0
"THA",0.175,0
"CIV",0.178,0
"MDV",0.186,0
"BFA",0.2,0
"AGO",0.251,0
"GAB",0.285,0
"MAR",0.288,0
"PHL",0.312,0
"JOR",0.315,0
"MDG",0.334,0
"ECU",0.337,0
"AFG",0.341,0
"DJI",0.39,0
"KEN",0.426,0
"LBY",0.427,0
"AZE",0.436,0
"UZB",0.447,0
"QAT",0.486,0
"KGZ",0.49,0
"COG",0.526,0
"KAZ",0.527,0
"MRT",0.529,0
"COD",0.531,0
"IND",0.537,0
"SAU",0.538,0
"CMR",0.544,0
"ARE",0.552,0
"KWT",0.556,0
"SEN",0.557,0
"SOM",0.559,0
"MYS",0.565,0
"SDN",0.574,0
"ETH",0.581,0
"IDN",0.599,0
"NGA",0.599,0
"UGA",0.601,0
"BGD",0.607,0
"BHR",0.611,0
"IRQ",0.613,0
"BOL",0.622,0
"PAK",0.67,0
"DZA",0.684,0
"BDI",0.705,0
"NIC",0.718,0
"EGY",0.785,0
"VNM",0.985,0
"CHN",1,0
"CUB",1,0
"ERI",1,0
"LKA",1,0
"MLI",1,0
"RUS",1,0
"VEN",1,0
"SWZ",NA,NA
