Country,A/HRC/RES/6/3,A/HRC/RES/6/7,A/HRC/RES/6/19,A/HRC/RES/6/21,A/HRC/RES/6/22,A/HRC/RES/6/23,A/HRC/RES/6/37,A/HRC/RES/S-6/1,A/HRC/RES/7/1,A/HRC/7/L.39,A/HRC/RES/7/2,A/HRC/RES/7/4,A/HRC/RES/7/5,A/HRC/RES/7/11,A/HRC/RES/7/15,A/HRC/RES/7/18,A/HRC/RES/7/19,A/HRC/RES/7/21,A/HRC/RES/7/30,A/HRC/RES/7/33,A/HRC/RES/7/36,A/HRC/RES/8/5,A/HRC/RES/8/9
AGO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1
AZE,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
BGD,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1
BIH,0,0,2,0,0,0,1,2,2,0,0,0,0,1,1,1,3,0,2,2,2,0,0
BOL,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1
BRA,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1
CAN,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0
CHE,2,0,2,0,0,0,1,2,1,0,2,0,0,1,1,1,0,2,2,2,2,0,0
CHN,1,1,1,1,1,1,2,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1
CMR,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1
CUB,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1
DEU,0,0,2,0,0,0,1,2,2,0,0,0,0,1,1,1,0,0,2,2,2,0,0
DJI,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
EGY,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
FRA,0,0,2,0,0,0,1,2,2,0,0,0,0,1,1,1,0,0,2,2,2,0,0
GAB,1,1,1,3,3,3,2,3,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1
GBR,0,0,2,0,0,0,1,2,2,0,0,0,0,1,1,1,0,0,2,2,2,0,0
GHA,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1
GTM,1,1,2,1,2,1,1,2,2,0,1,1,1,1,2,1,2,1,2,1,2,1,1
IDN,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
IND,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,2,1,1,1,1,1,2
ITA,0,0,2,0,0,0,1,2,2,0,0,0,0,1,1,1,0,0,2,2,2,0,0
JOR,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JPN,0,0,2,2,0,2,1,2,2,2,2,0,0,1,1,1,2,0,2,2,2,0,0
KOR,0,2,2,2,0,2,1,2,2,2,2,0,0,1,1,1,2,0,2,2,2,0,0
LKA,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
MDG,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
MEX,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,2,2
MLI,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
MUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1
MYS,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
NGA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
NIC,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1
NLD,0,0,2,0,0,0,1,2,2,0,0,0,0,1,1,1,0,0,2,2,2,0,0
PAK,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
PER,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1
PHL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1
QAT,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
ROU,0,0,2,0,0,0,1,2,2,0,0,0,0,1,1,1,0,0,2,2,2,0,0
RUS,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1
SAU,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SEN,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
SVN,0,0,2,0,0,0,1,2,2,0,0,0,0,1,1,1,0,0,2,2,2,0,0
UKR,0,2,2,2,0,2,1,2,2,0,0,0,0,1,1,1,0,2,2,2,2,0,0
URY,1,1,1,2,2,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1
ZAF,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
ZMB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1
