Country,Country Long,party
AGO,Angola,GLOBAL_SOUTH
ARG,Argentina,GLOBAL_SOUTH
AUT,Austria,GLOBAL_NORTH
AZE,Azerbaijan,GLOBAL_NORTH
BEL,Belgium,GLOBAL_NORTH
BEN,Benin,GLOBAL_SOUTH
BFA,Burkina Faso,GLOBAL_SOUTH
BGD,Bangladesh,GLOBAL_SOUTH
BHR,Bahrain,GLOBAL_SOUTH
BIH,Bosnia and Herzegovina,GLOBAL_SOUTH
BOL,"Bolivia, Plurinational State of",GLOBAL_SOUTH
BRA,Brazil,GLOBAL_SOUTH
BWA,Botswana,GLOBAL_SOUTH
CAN,Canada,GLOBAL_NORTH
CHE,Switzerland,GLOBAL_NORTH
CHL,Chile,GLOBAL_SOUTH
CHN,China,GLOBAL_SOUTH
CMR,Cameroon,GLOBAL_SOUTH
COG,Congo,GLOBAL_SOUTH
CRI,Costa Rica,GLOBAL_SOUTH
CUB,Cuba,GLOBAL_SOUTH
CZE,Czechia,GLOBAL_NORTH
DEU,Germany,GLOBAL_NORTH
DJI,Djibouti,GLOBAL_SOUTH
DZA,Algeria,GLOBAL_SOUTH
ECU,Ecuador,GLOBAL_SOUTH
EGY,Egypt,GLOBAL_SOUTH
ESP,Spain,GLOBAL_NORTH
FIN,Finland,GLOBAL_NORTH
FRA,France,GLOBAL_NORTH
GAB,Gabon,GLOBAL_SOUTH
GBR,United Kingdom of Great Britain and Northern Ireland,GLOBAL_NORTH
GHA,Ghana,GLOBAL_SOUTH
GTM,Guatemala,GLOBAL_SOUTH
HUN,Hungary,GLOBAL_NORTH
IDN,Indonesia,GLOBAL_SOUTH
IND,India,GLOBAL_SOUTH
ITA,Italy,GLOBAL_NORTH
JOR,Jordan,GLOBAL_SOUTH
JPN,Japan,GLOBAL_NORTH
KGZ,Kyrgyzstan,GLOBAL_NORTH
KOR,"Korea, Republic of",GLOBAL_NORTH
KWT,Kuwait,GLOBAL_SOUTH
LBY,Libya,GLOBAL_SOUTH
LKA,Sri Lanka,GLOBAL_SOUTH
MAR,Morocco,GLOBAL_SOUTH
MDA,"Moldova, Republic of",GLOBAL_NORTH
MDG,Madagascar,GLOBAL_SOUTH
MDV,Maldives,GLOBAL_SOUTH
MEX,Mexico,GLOBAL_NORTH
MLI,Mali,GLOBAL_SOUTH
MRT,Mauritania,GLOBAL_SOUTH
MUS,Mauritius,GLOBAL_SOUTH
MYS,Malaysia,GLOBAL_SOUTH
NGA,Nigeria,GLOBAL_SOUTH
NIC,Nicaragua,GLOBAL_SOUTH
NLD,Netherlands,GLOBAL_NORTH
NOR,Norway,GLOBAL_NORTH
PAK,Pakistan,GLOBAL_SOUTH
PER,Peru,GLOBAL_SOUTH
PHL,Philippines,GLOBAL_SOUTH
POL,Poland,GLOBAL_NORTH
QAT,Qatar,GLOBAL_SOUTH
ROU,Romania,GLOBAL_NORTH
RUS,Russian Federation,GLOBAL_NORTH
SAU,Saudi Arabia,GLOBAL_SOUTH
SEN,Senegal,GLOBAL_SOUTH
SVK,Slovakia,GLOBAL_NORTH
SVN,Slovenia,GLOBAL_NORTH
SWZ,Eswatini,GLOBAL_SOUTH
THA,Thailand,GLOBAL_SOUTH
TUN,Tunisia,GLOBAL_SOUTH
UGA,Uganda,GLOBAL_SOUTH
UKR,Ukraine,GLOBAL_NORTH
URY,Uruguay,GLOBAL_SOUTH
USA,United States of America,GLOBAL_NORTH
ZAF,South Africa,GLOBAL_SOUTH
ZMB,Zambia,GLOBAL_SOUTH
