Resolution,Date,Summary
A/HRC/RES/1/2,2006/06/29,Working group of the Commission on Human Rights to elaborate a draft declaration in accordance with paragraph 5 of the General Assembly resolution 49/214 of 23 December 1994 :resolution /adopted by the Human Rights Council at its 1st session
A/HRC/DEC/1/106,2006/06/30,Human rights situation in Palestine and other  occupied Arab territories :decision /adopted by the Human Rights Council at its 1st session
A/HRC/DEC/1/107,2006/06/30,Incitement to racial and religious hatred and the  promotion of tolerance :decision /adopted by the Human Rights Council at its 1st session
A/HRC/RES/S-1/1,2006/07/06,Human rights situation in the Occupied Palestinian Territory :resolution /adopted by the Human Rights Council at its 1st special session
A/HRC/RES/S-2/1,2006/08/11,The grave situation of human rights in Lebanon caused by Israeli military operations :resolution /adopted by the Human Rights Council at its 2nd special session
A/HRC/2/L.48,2006/10/03,Implementation of General Assembly resolution 60/251 of 15 March 2006 entitled “human rights council” :amendment /Human Rights Council at its 2nd session
A/HRC/RES/S-3/1,2006/11/15,"Human rights violations emanat ing from Israeli military incursions  in the Occupied Palestinian Territory, including the recent one in  northern Gaza and the assault on Beit Hanoun :resolution /adopted by the Human Rights Council at its 3rd special session"
A/HRC/RES/2/1,2006/11/27,Intergovernmental Working Group on the Review of Mandates :resolution /adopted by the Human Rights Council at its 2nd session
A/HRC/RES/2/3,2006/11/27,Human rights in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 2nd session
A/HRC/RES/2/4,2006/11/27,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 2nd session"
A/HRC/DEC/2/109,2006/11/27,Effects of economic reform policies and foreign debt on the full enjoyment of all human rights :decision /adopted by the Human Rights Council at its 2nd session
A/HRC/DEC/2/115,2006/11/28,Darfur :decision /adopted by the Human Rights Council at its 2nd session
A/HRC/RES/3/1,2006/12/08,Human rights situation in the Occupied Palestinian Territory : follow-up to Human Rights Council resolution S-1/1 :resolution /adopted by the Human Rights Council at its 3rd session
A/HRC/RES/3/2,2006/12/08,Preparations for the Durban Review Conference :resolution /adopted by the Human Rights Council at its 3rd session
A/HRC/DEC/3/103,2006/12/08,"Global efforts for the total elimination of racism, racial discrimination, xenophobia and related intolerance and the comprehensive follow-up to the World Conference against Racism, Racial Discrimination, Xenophobia and Related Intolerance and the effective implementation of the Durban Declaration and Programme of Action :decision /adopted by the Human Rights Council at its 3rd session"
A/HRC/RES/4/5,2007/03/30,Globalization and its impact on the full enjoyment of all human rights :resolution /adopted by the Human Rights Council at its 4th session
A/HRC/RES/4/6,2007/03/30,Strengthening of the Office of the United Nations High Commissioner for Human Rights :resolution /adopted by the Human Rights Council at its 4th session
A/HRC/RES/4/9,2007/03/30,Combating defamation of religions :resolution /adopted by the Human Rights Council at its 4th session
A/HRC/DEC/4/103,2007/03/30,Human rights and unilateral coercive measures :decision /adopted by the Human Rights Council at its 4th session
A/HRC/RES/6/3,2007/09/27,Human rights and international solidarity :resolution /adopted by the Human Rights Council at its 6th session
A/HRC/RES/6/7,2007/09/28,Human rights and unilateral coercive measures :resolution /adopted by the Human Rights Council at its 6th session
A/HRC/RES/6/19,2007/09/28,"Religious and cultural rights in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 6th session"
