"","coord1D","se1D"
"CAN",-1,0
"HUN",-1,0
"MDA",-1,0
"NLD",-1,0
"SVK",-1,0
"UKR",-1,0
"USA",-1,0
"DEU",-0.934,0
"ITA",-0.928,0
"ROU",-0.889,0
"POL",-0.861,0
"CZE",-0.856,0
"GBR",-0.855,0
"FRA",-0.854,0
"FIN",-0.831,0
"JPN",-0.82,0
"KOR",-0.812,0
"ESP",-0.809,0
"SVN",-0.794,0
"BIH",-0.775,0
"CHE",-0.752,0
"AUT",-0.711,0
"BEL",-0.69,0
"NOR",-0.662,0
"ARG",-0.191,0
"GTM",-0.032,0
"BEN",-0.023,0
"PER",-0.006,0
"CHL",0.02,0
"MEX",0.071,0
"CRI",0.074,0
"BWA",0.091,0
"MUS",0.162,0
"URY",0.186,0
"BRA",0.208,0
"ZMB",0.348,0
"MDV",0.349,0
"GHA",0.371,0
"LBY",0.375,0
"BFA",0.383,0
"UGA",0.415,0
"MDG",0.42,0
"SEN",0.427,0
"COG",0.428,0
"KGZ",0.428,0
"THA",0.428,0
"KWT",0.436,0
"BOL",0.452,0
"JOR",0.452,0
"IND",0.456,0
"CMR",0.463,0
"AGO",0.464,0
"SAU",0.467,0
"GAB",0.468,0
"DJI",0.478,0
"BHR",0.487,0
"MRT",0.488,0
"PHL",0.497,0
"QAT",0.5,0
"NGA",0.51,0
"MYS",0.516,0
"BGD",0.525,0
"IDN",0.529,0
"ECU",0.552,0
"AZE",0.618,0
"NIC",0.642,0
"EGY",0.685,0
"PAK",0.712,0
"CUB",0.725,0
"RUS",0.909,0
"LKA",0.94,0
"CHN",1,0
"DZA",1,0
"MAR",1,0
"MLI",1,0
"TUN",1,0
"ZAF",1,0
"SWZ",NA,NA
