Country,A/HRC/RES/46/1,A/HRC/RES/46/2,A/HRC/RES/46/3,A/HRC/RES/46/5,A/HRC/RES/46/8,A/HRC/RES/46/11,A/HRC/RES/46/13,A/HRC/RES/46/18,A/HRC/RES/46/20,A/HRC/RES/46/22,A/HRC/RES/46/23,A/HRC/RES/46/24,A/HRC/RES/46/25,A/HRC/RES/46/26,A/HRC/46/L.32,A/HRC/46/L.33,A/HRC/46/L.34,A/HRC/46/L.36,A/HRC/46/L.35,A/HRC/46/L.37,A/HRC/46/L.38,A/HRC/46/L.39,A/HRC/46/L.40,A/HRC/46/L.41,A/HRC/46/L.42,A/HRC/46/L.43,A/HRC/46/L.44,A/HRC/46/L.45,A/HRC/RES/S-30/1,A/HRC/RES/47/2,A/HRC/RES/47/9,A/HRC/RES/47/10,A/HRC/RES/47/11,A/HRC/RES/47/13,A/HRC/RES/47/14,A/HRC/RES/47/16,A/HRC/RES/47/18,A/HRC/RES/47/19,A/HRC/RES/47/22,A/HRC/RES/47/23,A/HRC/47/L.30,A/HRC/47/L.31,A/HRC/47/L.32,A/HRC/47/L.66,A/HRC/47/L.68,A/HRC/47/L.69,A/HRC/47/L.70,A/HRC/47/L.71,A/HRC/47/L.72,A/HRC/47/L.73,A/HRC/47/L.74,A/HRC/47/L.75,A/HRC/47/L.76,A/HRC/47/L.77,A/HRC/47/L.78,A/HRC/47/L.79,A/HRC/47/L.33,A/HRC/47/L.34,A/HRC/47/L.35,A/HRC/47/L.36,A/HRC/47/L.37,A/HRC/47/L.38,A/HRC/47/L.39,A/HRC/47/L.40,A/HRC/47/L.41,A/HRC/47/L.42,A/HRC/47/L.57,A/HRC/47/L.65,A/HRC/RES/47/24,A/HRC/47/L.44,A/HRC/47/L.46,A/HRC/47/L.47,A/HRC/47/L.49,A/HRC/47/L.50,A/HRC/47/L.58,A/HRC/47/L.59,A/HRC/47/L.60,A/HRC/47/L.61,A/HRC/47/L.62,A/HRC/47/L.63,A/HRC/RES/48/5,A/HRC/RES/48/1,A/HRC/48/L.44,A/HRC/48/L.45,A/HRC/48/L.46,A/HRC/48/L.47,A/HRC/48/L.48,A/HRC/RES/48/7,A/HRC/RES/48/8,A/HRC/RES/48/9,A/HRC/RES/48/10,A/HRC/RES/48/13,A/HRC/RES/48/14,A/HRC/RES/48/15,A/HRC/RES/48/16,A/HRC/48/L.31,A/HRC/48/L.61,A/HRC/48/L.62,A/HRC/48/L.59,A/HRC/48/L.60,A/HRC/48/L.63,A/HRC/48/L.64,A/HRC/48/L.65,A/HRC/48/L.66,A/HRC/48/L.33,A/HRC/48/L.34,A/HRC/48/L.35,A/HRC/48/L.36,A/HRC/48/L.37,A/HRC/48/L.38,A/HRC/48/L.39,A/HRC/48/L.40,A/HRC/48/L.41,A/HRC/48/L.42,A/HRC/RES/48/18,A/HRC/RES/S-33/1
ARG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ARM,1,2,1,2,2,1,2,0,2,0,1,1,1,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1,1,0,1,2,2,1,1,0,2,0,1,2,2,0,0,0,2,0,0,2,2,2,2,2,2,2,0,2,1,0,2,2,0,0,0,2,0,2,0,1,0,0,2,2,2,2,0,2,2,0,2,1,1,0,0,0,0,0,1,2,1,2,1,1,0,1,0,0,2,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,1
AUT,1,1,0,0,0,0,0,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BFA,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,0,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
BGD,0,2,1,1,1,1,1,0,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,1,1,2,2,2,0,2,1,1,1,0,0,0,0,0,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,0,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,0,0,2,2,0,0,2,2,0,1,2
BGR,1,1,0,0,0,0,0,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
BHR,2,3,3,1,1,1,1,1,2,2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,0,1,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2
BHS,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,1,1,1,1,1,0,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
BOL,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,0,1,3,3,3,3,3,3,3,3,3,3,2,1,2,3,3,1,1,3,1,1,1,1,1,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0
BRA,1,1,0,0,0,1,1,2,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,2,2,2,2,0,2,2,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2,2,1,2,2,0,0,0,0,2,1,2,1,2,2,2,2,2,2,1,1
