Country,Country Long,party
ALB,Albania,GLOBAL_NORTH
ARE,United Arab Emirates,GLOBAL_SOUTH
BDI,Burundi,GLOBAL_SOUTH
BEL,Belgium,GLOBAL_NORTH
BGD,Bangladesh,GLOBAL_SOUTH
BOL,"Bolivia, Plurinational State of",GLOBAL_SOUTH
BRA,Brazil,GLOBAL_SOUTH
BWA,Botswana,GLOBAL_SOUTH
CHE,Switzerland,GLOBAL_NORTH
CHN,China,GLOBAL_SOUTH
CIV,Côte d'Ivoire,GLOBAL_SOUTH
COG,Congo,GLOBAL_SOUTH
CUB,Cuba,GLOBAL_SOUTH
DEU,Germany,GLOBAL_NORTH
ECU,Ecuador,GLOBAL_SOUTH
EGY,Egypt,GLOBAL_SOUTH
ETH,Ethiopia,GLOBAL_SOUTH
GBR,United Kingdom of Great Britain and Northern Ireland,GLOBAL_NORTH
GEO,Georgia,GLOBAL_NORTH
GHA,Ghana,GLOBAL_SOUTH
HRV,Croatia,GLOBAL_NORTH
HUN,Hungary,GLOBAL_NORTH
IDN,Indonesia,GLOBAL_SOUTH
IND,India,GLOBAL_SOUTH
IRQ,Iraq,GLOBAL_SOUTH
JPN,Japan,GLOBAL_NORTH
KEN,Kenya,GLOBAL_SOUTH
KGZ,Kyrgyzstan,GLOBAL_NORTH
KOR,"Korea, Republic of",GLOBAL_NORTH
LVA,Latvia,GLOBAL_NORTH
MNG,Mongolia,GLOBAL_SOUTH
NGA,Nigeria,GLOBAL_SOUTH
NLD,Netherlands,GLOBAL_NORTH
PAN,Panama,GLOBAL_SOUTH
PHL,Philippines,GLOBAL_SOUTH
PRT,Portugal,GLOBAL_NORTH
PRY,Paraguay,GLOBAL_SOUTH
QAT,Qatar,GLOBAL_SOUTH
RWA,Rwanda,GLOBAL_SOUTH
SAU,Saudi Arabia,GLOBAL_SOUTH
SLV,El Salvador,GLOBAL_SOUTH
SVN,Slovenia,GLOBAL_NORTH
TGO,Togo,GLOBAL_SOUTH
TUN,Tunisia,GLOBAL_SOUTH
USA,United States of America,GLOBAL_NORTH
VEN,"Venezuela, Bolivarian Republic of",GLOBAL_SOUTH
ZAF,South Africa,GLOBAL_SOUTH
