Country,A/HRC/RES/40/2,A/HRC/RES/40/3,A/HRC/RES/40/4,A/HRC/RES/40/8,A/HRC/RES/40/13,A/HRC/RES/40/17,A/HRC/RES/40/18,A/HRC/RES/40/21,A/HRC/RES/40/22,A/HRC/RES/40/23,A/HRC/RES/40/24,A/HRC/RES/40/28,A/HRC/RES/40/29,A/HRC/RES/41/1,A/HRC/RES/41/2,A/HRC/RES/41/3,A/HRC/RES/41/4,A/HRC/RES/41/5,A/HRC/41/L.37,A/HRC/41/L.41,A/HRC/41/L.46,A/HRC/41/L.40,A/HRC/41/L.42,A/HRC/41/L.45,A/HRC/RES/41/18,A/HRC/RES/41/19,A/HRC/RES/41/22,A/HRC/RES/41/23,A/HRC/RES/41/25,A/HRC/41/L.38,A/HRC/41/L.43,A/HRC/41/L.44,A/HRC/41/L.27,A/HRC/41/L.28,A/HRC/41/L.29,A/HRC/41/L.30,A/HRC/41/L.31,A/HRC/41/L.32,A/HRC/41/L.33,A/HRC/41/L.34,A/HRC/41/L.35,A/HRC/41/L.36,A/HRC/RES/42/1,A/HRC/RES/42/2,A/HRC/RES/42/3,A/HRC/RES/42/4,A/HRC/RES/42/8,A/HRC/RES/42/9,A/HRC/RES/42/23,A/HRC/RES/42/24,A/HRC/RES/42/25,A/HRC/RES/42/26,A/HRC/RES/42/27,A/HRC/RES/42/28,A/HRC/42/L.39,A/HRC/42/L.40,A/HRC/42/L.41,A/HRC/42/L.46,A/HRC/42/L.43,A/HRC/42/L.44,A/HRC/42/L.45
AFG,1,2,1,2,1,1,0,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,0,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,1,0,2,2,2,1,1,2,1,1,2,2,2
AGO,2,1,1,1,1,2,2,1,1,1,1,2,2,2,0,1,1,1,2,2,2,2,2,2,2,1,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2
ARG,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0
AUS,1,0,2,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
AUT,1,0,2,0,0,1,1,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
BFA,2,1,1,1,1,1,2,1,1,1,1,2,1,0,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0
BGD,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,0,0,0,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,0,2,2,2,1,1,1,1,1,2,2,2
BGR,1,0,2,0,0,1,1,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
BHR,2,1,1,1,1,2,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,0,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,0,2,2,2,2,1,1,1,1,1,1,1
BHS,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,2,1,1,0,0,0,0,0,1,2,2,0,1,2,0,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
BRA,1,0,1,0,0,1,2,0,1,1,2,2,1,1,2,2,1,1,1,0,0,1,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,2,1,1,1,1,1,0,0,0,0,1,1,1
CHL,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0
CHN,2,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,2,1,1,1,1,1,1,1
CMR,2,1,1,1,3,2,2,2,2,2,2,0,2,0,0,1,1,1,1,1,1,1,1,2,3,1,2,2,0,1,2,1,3,3,3,3,3,3,3,3,3,3,1,2,2,1,1,1,1,0,0,0,3,2,1,1,1,1,2,2,2
COD,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,0,2,1,2,2,2,2,2,2,2
CUB,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,3,3,3,3,3,3,1,1,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,3,1,1,1,1,3,0,0,0,2,0,3,3,3,1,1,1
CZE,1,0,2,0,0,1,1,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
DNK,1,0,2,0,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
EGY,0,1,1,1,1,0,2,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,1,1
ERI,0,1,1,1,1,0,0,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,0,0,0,2,1,1,1,1,1,1,1
ESP,1,0,2,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
FJI,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0
GBR,1,0,2,0,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
HRV,1,0,2,0,2,1,1,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
HUN,1,0,2,0,0,1,1,0,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
IND,2,1,1,1,2,2,0,1,1,1,1,2,2,0,0,1,1,1,2,0,0,1,2,0,2,1,0,2,2,2,0,2,0,2,1,1,1,1,1,2,2,1,1,0,2,2,1,1,1,0,2,2,2,1,1,1,1,1,1,1,1
