"","coord1D","se1D"
"AUS",-1,0
"EST",-1,0
"GBR",-1,0
"LVA",-1,0
"MDA",-1,0
"MHL",-1,0
"MKD",-1,0
"USA",-1,0
"ALB",-0.978,0
"CZE",-0.957,0
"ROU",-0.925,0
"DNK",-0.911,0
"FRA",-0.886,0
"LTU",-0.885,0
"HUN",-0.882,0
"AUT",-0.875,0
"MNE",-0.873,0
"BGR",-0.872,0
"DEU",-0.87,0
"NLD",-0.87,0
"POL",-0.863,0
"GEO",-0.857,0
"KOR",-0.852,0
"SVK",-0.852,0
"ITA",-0.849,0
"PRT",-0.848,0
"HRV",-0.843,0
"JPN",-0.838,0
"IRL",-0.821,0
"UKR",-0.821,0
"ESP",-0.82,0
"FIN",-0.82,0
"ISL",-0.807,0
"SVN",-0.807,0
"CHE",-0.805,0
"LUX",-0.79,0
"BEL",-0.776,0
"NOR",-0.696,0
"PAN",-0.448,0
"MEX",-0.417,0
"DOM",-0.381,0
"BRA",-0.376,0
"HND",-0.376,0
"PRY",-0.372,0
"PER",-0.371,0
"CRI",-0.367,0
"FJI",-0.367,0
"CHL",-0.361,0
"ARG",-0.346,0
"URY",-0.341,0
"MNG",-0.244,0
"ARM",-0.235,0
"GHA",-0.218,0
"RWA",-0.183,0
"NPL",-0.167,0
"SLV",-0.145,0
"BHS",-0.142,0
"GTM",-0.139,0
"BEN",-0.132,0
"MUS",-0.108,0
"SLE",-0.103,0
"MWI",-0.071,0
"TGO",-0.03,0
"ZAF",0.012,0
"TUN",0.023,0
"BWA",0.042,0
"NAM",0.091,0
"CIV",0.094,0
"BFA",0.095,0
"MDV",0.132,0
"THA",0.134,0
"GMB",0.151,0
"AGO",0.158,0
"GAB",0.222,0
"JOR",0.232,0
"MAR",0.235,0
"PHL",0.253,0
"ECU",0.284,0
"AFG",0.296,0
"DJI",0.306,0
"KEN",0.385,0
"LBY",0.404,0
"UZB",0.414,0
"QAT",0.441,0
"COG",0.445,0
"KGZ",0.471,0
"KAZ",0.488,0
"MRT",0.498,0
"IND",0.508,0
"COD",0.51,0
"SAU",0.513,0
"MYS",0.517,0
"ARE",0.519,0
"KWT",0.522,0
"CMR",0.525,0
"SOM",0.528,0
"SEN",0.545,0
"SDN",0.547,0
"ETH",0.548,0
"IDN",0.56,0
"NGA",0.565,0
"BGD",0.578,0
"IRQ",0.578,0
"BOL",0.621,0
"PAK",0.646,0
"DZA",0.667,0
"BHR",0.668,0
"BDI",0.678,0
"EGY",0.75,0
"VNM",0.99,0
"CHN",1,0
"CUB",1,0
"ERI",1,0
"RUS",1,0
"UGA",1,0
"VEN",1,0
